run,pair,edge,ci_disjoint,n_ab_a,n_ab_b,both_pass
06_phase2_coarticulation,DPP-TPP,L2-07~L2-08,True,645,617,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-02,False,323,393,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-03,False,218,472,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-04,False,99,149,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-05,False,852,1056,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-06,False,534,815,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-07,False,784,1000,True
06_phase2_coarticulation,KMT-TPP,L2-01~L2-08,False,340,571,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-03,False,59,102,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-04,False,54,65,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-05,False,380,407,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-06,False,209,203,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-07,False,263,271,True
06_phase2_coarticulation,KMT-TPP,L2-02~L2-08,False,185,202,True
06_phase2_coarticulation,KMT-TPP,L2-03~L2-04,False,18,34,False
06_phase2_coarticulation,KMT-TPP,L2-03~L2-05,False,203,350,True
06_phase2_coarticulation,KMT-TPP,L2-03~L2-06,False,183,305,True
06_phase2_coarticulation,KMT-TPP,L2-03~L2-07,False,204,334,True
06_phase2_coarticulation,KMT-TPP,L2-03~L2-08,False,108,206,True
06_phase2_coarticulation,KMT-TPP,L2-04~L2-05,False,127,136,True
06_phase2_coarticulation,KMT-TPP,L2-04~L2-06,False,96,125,True
06_phase2_coarticulation,KMT-TPP,L2-04~L2-07,False,89,160,True
06_phase2_coarticulation,KMT-TPP,L2-04~L2-08,False,72,92,True
06_phase2_coarticulation,KMT-TPP,L2-05~L2-06,False,689,728,True
06_phase2_coarticulation,KMT-TPP,L2-05~L2-07,False,949,987,True
06_phase2_coarticulation,KMT-TPP,L2-05~L2-08,False,372,517,True
06_phase2_coarticulation,KMT-TPP,L2-06~L2-07,False,1207,1570,True
06_phase2_coarticulation,KMT-TPP,L2-06~L2-08,False,256,401,True
06_phase2_coarticulation,KMT-TPP,L2-07~L2-08,False,347,617,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-02,False,163,128,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-03,False,59,41,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-04,False,164,104,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-05,False,478,310,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-06,False,548,258,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-07,False,746,485,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-01~L2-08,False,378,224,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-03,False,14,2,False
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-04,False,52,51,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-05,False,170,115,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-06,False,97,66,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-07,False,187,158,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-02~L2-08,False,148,116,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-03~L2-04,False,19,9,False
06_phase2_coarticulation_deepseek,DPP-KMT,L2-03~L2-05,False,47,33,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-03~L2-06,False,57,48,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-03~L2-07,False,95,67,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-03~L2-08,False,37,25,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-04~L2-05,False,178,191,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-04~L2-06,False,216,164,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-04~L2-07,False,315,281,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-04~L2-08,True,221,117,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-05~L2-06,True,424,342,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-05~L2-07,False,787,690,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-05~L2-08,False,361,240,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-06~L2-07,False,997,687,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-06~L2-08,False,379,206,True
06_phase2_coarticulation_deepseek,DPP-KMT,L2-07~L2-08,False,726,460,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-02,False,163,189,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-03,False,59,80,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-04,False,164,165,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-05,False,478,480,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-06,False,548,434,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-07,False,746,678,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-01~L2-08,False,378,368,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-03,False,14,9,False
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-04,False,52,88,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-05,False,170,190,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-06,False,97,99,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-07,False,187,183,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-02~L2-08,False,148,144,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-03~L2-04,False,19,21,False
06_phase2_coarticulation_deepseek,DPP-TPP,L2-03~L2-05,False,47,48,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-03~L2-06,False,57,69,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-03~L2-07,False,95,106,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-03~L2-08,False,37,30,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-04~L2-05,False,178,195,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-04~L2-06,False,216,248,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-04~L2-07,False,315,355,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-04~L2-08,True,221,190,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-05~L2-06,True,424,415,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-05~L2-07,False,787,852,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-05~L2-08,False,361,373,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-06~L2-07,False,997,918,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-06~L2-08,False,379,347,True
06_phase2_coarticulation_deepseek,DPP-TPP,L2-07~L2-08,False,726,775,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-02,False,128,189,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-03,False,41,80,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-04,False,104,165,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-05,False,310,480,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-06,False,258,434,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-07,False,485,678,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-01~L2-08,False,224,368,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-03,False,2,9,False
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-04,False,51,88,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-05,False,115,190,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-06,False,66,99,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-07,False,158,183,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-02~L2-08,False,116,144,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-03~L2-04,False,9,21,False
06_phase2_coarticulation_deepseek,KMT-TPP,L2-03~L2-05,False,33,48,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-03~L2-06,False,48,69,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-03~L2-07,False,67,106,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-03~L2-08,False,25,30,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-04~L2-05,False,191,195,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-04~L2-06,False,164,248,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-04~L2-07,False,281,355,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-04~L2-08,False,117,190,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-05~L2-06,False,342,415,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-05~L2-07,False,690,852,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-05~L2-08,False,240,373,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-06~L2-07,False,687,918,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-06~L2-08,False,206,347,True
06_phase2_coarticulation_deepseek,KMT-TPP,L2-07~L2-08,False,460,775,True
