case_id,layer,stratum,sentence,gold_L1,gold_L1_cot,gold_L2,gold_L2_cot,notes
11,L2,l2_mismatch,"總統蔡英文多次提出主張,現在國際社會最支持的就是維持現狀,維持現狀已成為國際最大公約數,現狀未必是大家最滿意狀況,也不是對岸滿意的狀態,對岸滿意的狀態是把台灣變成香港,但那是大家不能接受的狀態。",L1-03,,L2-03|L2-05,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-03;L1_1238=L1-03|L2_1137=L2-02|L2-03|L2-05;L2_1238=L2-02|L2-03|L2-05|L2-08
12,L2,l2_mismatch,"接連發生爆炸情況,也引發民眾討論,國民黨立委賴士葆受訪表示,國防部在彈藥管理方面出了很大問題,他也提到美國先前釋出研擬與台灣協商設立「區域緊急庫存」,被稱為打造台灣成「軍火庫」一事說,「你要堆一大堆彈藥在這裡,三不五時爆炸,人民怎麼受的了?」國家中山科學研究院九鵬院區俗稱「九鵬基地」,是我國防科技研發機構,屬於國家中山科學研究院下屬之武器研發與測試機構,國防部向承包商新購的火炮、飛彈都會在此進行射擊測試及演訓,也是我國軍方三大神秘單位之一,其高度軍事機密的飛彈射擊演訓,也讓它被軍迷稱為台灣版的「神秘51區」。",L1-06,,L2-05,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-06;L1_1238=L1-06|L2_1137=L2-01|L2-05|L2-06;L2_1238=L2-01|L2-05
13,BOTH,mixed_l1_l2,"為了表彰桃園機場第一線主要執行單位在疫情期間守護國門的努力,桃園國際機場公司總經理范孝倫(中)今(8)日頒贈防疫勳章給機場內10個防疫有功單位代表。",L1-04,,L2-06,,Run1137_vs_1238|L1_mismatch|L2_set_mismatch|L1_1137=L1-04;L1_1238=L1-06|L2_1137=L2-06|L2-07;L2_1238=L2-06
14,L2,l2_mismatch,"教育局副局長吳國珉表示,每年持續舉辦兒童權利公約宣導,透過研習及教材研發,積極提升教師知能,並舉辦親子講座,提高家長對兒童權利的認識,同時緊密聯繫社會安全網合作機制保護兒童,藉由「國際不打小孩日」宣導,鼓勵大家用愛與擁抱,養育孩子從停止體罰做起。",L1-04,,L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-04;L1_1238=L1-04|L2_1137=L2-03|L2-07;L2_1238=∅
15,BOTH,mixed_l1_l2,"此次寫真月曆由公益代言人及4位英雄人物為主題,將刑警捍衛人民安全與社會正義、打擊犯罪的模樣呈現給社會大眾,這次公益寫真月曆曆義賣所得,將全數捐給天主教善牧社會福利基金會,藉此感謝基金會關心受暴婦幼、棄虐兒等弱勢族群。",L1-04,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-04;L1_1238=L1-04|L2_1137=∅;L2_1238=L2-07
16,BOTH,mixed_l1_l2,"辛苦的勞工朋友們,今天請好好放鬆,享受這個屬於你們的節日!",L1-04,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-04;L1_1238=L1-04|L2_1137=∅;L2_1238=L2-06
17,L2,l2_mismatch,"達賴喇嘛西藏宗教基金會董事長格桑堅參強調,1951年西藏與中國簽署和平協議,僅8年時間中共就撕毀協議內容,對西藏政治、經濟制度進行改革,1959年藏人在西藏首都拉薩抗議中共統治的殘酷暴政,中共以武力鎮壓西藏,已經過了64年了,當年西藏合法政府流亡印度,那一天也是藏人失去自由的國恥日。",L1-03,,L2-04|L2-05,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-03;L1_1238=L1-03|L2_1137=L2-04|L2-05;L2_1238=L2-04|L2-05|L2-08
18,L2,l2_mismatch,"(記者董冠怡攝) 2024/01/08 12:19 相關新聞:塭仔圳合法房屋自救會批容積率太低 新北城鄉局3點聲明回應 〔記者董冠怡/新北報導〕新莊泰山合法房屋自救會今天召開記者會,控訴請假選總統的新北市長侯友宜稱「塭仔圳沒人抗爭」,令人聽不下去,批評「侯市長家蓋大樓,新莊透天變廁所」、要求「還新莊居住正義,容積(300%)比照侯友宜」,並提出7點訴求,恢復合法房屋原有建蔽率及容積率、計畫執行過程應知會民眾或其合法房屋代表,",L1-05,,L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-05;L1_1238=L1-05|L2_1137=L2-06|L2-07;L2_1238=L2-07
19,L2,l2_mismatch,"侯友宜今天說,清寒與弱勢學生繳不起私立大學學費,要疼惜這些辛苦的家庭,不能讓貧窮世襲,所以要讓他們從大學就可以全力以赴,與整個台灣、國際一起競爭。",L1-05,,L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-05;L1_1238=L1-05|L2_1137=L2-06|L2-07;L2_1238=L2-07
20,L2,l2_mismatch,"(看完整報導) 聯合國人權理事會3名專家6日發表聯合聲明指出,約100萬名藏族孩童被迫離家在中國寄宿學校「強迫同化」,漸漸忘了怎麼說母語,聲明並說,中共當局如此作為,侵蝕了他們的身分認同,且違返國際人權準則。",L1-04,,L2-08,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-05;L1_1238=L1-05|L2_1137=L2-02|L2-03|L2-05|L2-08;L2_1238=L2-03|L2-05
21,L2,l2_mismatch,"朱立倫指出,他們抱持坦承的心態,希望盡快找出協商的方案,目前大家正在努力當中,這中間就是情緒少一點、誠意及耐心多一點,不耐的情緒、語言少一點,最重要是換位思考、同理心,國民黨有多少支持者是從等待、期待到不滿、憤怒的情況,甚至有更情緒化的發言,最後一定是往大局、往大我的方向努力,這是他們秉持的決心。",L1-06,,L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-07;L1_1238=L1-07|L2_1137=∅;L2_1238=L2-07
22,L2,l2_mismatch,"這次非洲各國國會議員及政要等各界友人對蔡總統二度出訪非洲的熱烈歡迎與支持,顯示我國的自由民主、開放的經濟制度,以及藉由踏實外交、互惠互助與非洲國家合作的「台灣模式」,受到非洲友人的認同與肯定。",L1-03,,L2-01|L2-03|L2-06|L2-08,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-03;L1_1238=L1-03|L2_1137=L2-01|L2-06|L2-08;L2_1238=L2-01|L2-03|L2-06|L2-08
23,L2,l2_mismatch,"制度化的協商本來就存在,只是中國這幾年一些躲在「一個中國原則」、「一國兩制」、「九二共識」後面,迴避兩岸應該制度化的協商,一直迴避不是好辦法。",L1-06,,L2-01|L2-02|L2-05,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-06;L1_1238=L1-06|L2_1137=L2-02|L2-05;L2_1238=L2-01|L2-05
24,L2,l2_mismatch,"柯文哲指出,中華民國憲法跟兩岸人民關係條例,是目前規範台灣跟大陸互動的基本大法,他還是遵守法令,如果法沒修改之前要遵守法令,畢竟要讓台灣成法治國家。",L1-06,,L2-01|L2-03,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-06;L1_1238=L1-06|L2_1137=L2-01|L2-08;L2_1238=L2-01|L2-02|L2-08
25,L2,l2_mismatch,"陸委會表示,政府歡迎中生來台就學與交流的立場從未改變,有關恢復中生來臺就學相關事宜,倘有需兩岸主管機關相互配合之處,本會與教育部隨時都可循兩岸間既有的業務協調聯繫平台進行溝通,呼籲中方應正視中國青年來台就學權益,儘快恢復中生來台就學,我方亦會持續營造中生來台就學與生活友善環境。",L1-04,,L2-01|L2-02,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-06;L1_1238=L1-06|L2_1137=L2-01|L2-07;L2_1238=L2-01|L2-02|L2-07
