unit_id,camp,L1_gpt,category,is_enumeration,mentions_lai,sent_text
_2d3e5b593343_u010,DPP,L1-03,D democratic-alliance + trade,True,True,"彭博報導,賴清德撰文表示,他將增強台灣的軍事嚇阻力、確保經濟安全、與其他民主國家合作,並進行「穩定而有原則的兩岸關係領導能力」;"
_322fdaa48a89_u013,DPP,L1-03,D democratic-alliance + trade,True,True,"賴清德表示,印太區域人口已超過40億,GDP佔全球6成,是地緣政治變化衝擊最嚴厲的區域,台灣位處印太戰略的第一島鏈,台灣對印太和平穩定、世界永續發展至關重要,一定要發揮關鍵力量,透過民主活力,深化民主夥伴關係,除了加強區域安全合作外,也應該透過民主自由價值,公衛醫療機驗,半導體產業鏈,或宗教自由、體育交流、青年服務、學術研究等成就,來攜手理念相同國家,成立民主和平共同體,維護台海印太及世界的和平。"
_32c67d8674c0_u011,DPP,L1-03,H other,True,False,"趙怡翔指出,投票支持民進黨就是在地緣政治情勢動盪、經濟不確定因素持續增加、威權主義日益威脅全球各地民主政體之時,投票支持「穩定」。"
_32c67d8674c0_u012,DPP,L1-03,E China threatens both,True,False,"他提到,北京正從多方面以「複雜且精細」的手法試圖影響台灣選舉結果,包括錯假訊息、假新聞以及經貿「懲戒」措施,意圖「損害我們(台灣)的民主、顛覆我們(台灣)的制度、分化我們(台灣)的社會」。"
_32c67d8674c0_u013,DPP,L1-03,E China threatens both,False,False,"台灣民主實驗室(Doublethink Lab)研究員尼文(Tim Niven)指出,以往中國對台認知戰的目標為強力推展關於中華人民共和國及其統治和經濟的正面看法,但有鑑於這類說法已無賣點,現在中方轉而將民進黨呈現為台灣的安全威脅來源、必須為台灣失去的經濟機會負責。"
_34253e021eb8_u013,DPP,L1-03,D democratic-alliance + trade,True,True,"至於台海情勢危急時對美國挺台有多大信心,賴清德以「台灣的好朋友」稱呼美國,指台美是政治、經濟、人權等層面的夥伴,台灣安全是世界性的問題,維持台海與印太地區和平穩定符合國際社會共同利益,他相信世上所有民主國家,包括美國,都知道訪問者所提情況一旦發生要如何反應。"
_349444b127e0_u007,DPP,L1-03,A Lai's four-pillar formula,True,False,"首先是「保衛國家生存、守護人民生命」,和平靠實力,不是靠侵略者的善意,他當選總統一定會持續強化國防、強化經濟、強化和民主陣營的合作,發揮威懾力量,不卑不亢維持現狀、守護國家生存發展,維護二千三百萬人寶貴性命,國際都有一致共識,台海和平穩定符合各國利益,也是世界安全繁榮的必要元素,反對中國以武力或脅迫改變現狀,國人要相信自己、信賴台灣。"
_383585120389_u005,TPP,L1-03,E China threatens both,True,True,"蕭美琴表示,對外發展最重要目的是維持區域穩定,應確保「和平要靠實力」,壯大經貿、國防實力及深化與各方國際友人空間,面對威權國家用經貿籌碼做政治性脅迫,必須透過民主夥伴交流往來、深化合作,減少脅迫的可能性。"
_383585120389_u009,TPP,L1-01,H other,True,True,"她說,與賴清德一樣對台灣民主和平有著強烈使命,珍惜得來不易的民主自由,也是民進黨數十年來堅持奮鬥的目標,面對複雜國際環境與變局、經濟結構轉型,如何確保台灣在全球經濟扮演關鍵角色、維持強盛經濟活力競爭力,是未來共同努力的目標。"
_3a08a11aaf37_u008,KMT,L1-03,H other,False,True,"「把中華民國當護國神山」賴清德坦承口誤:少講了憲法兩字 賴清德表示,台灣已經從專制獨裁的時代,走向今天民主自由開放的時光,大家要珍惜這一切,也不能走回頭路,未來他當總統一定會凝聚台灣共識,走出一條大家團結的道路,既能夠保護國家、發展經濟,也能夠造福全國人民。"
_3c5ce1c98c79_u014,DPP,L1-03,C achievement list,False,False,"「過去,民進黨站在第一線對抗專制獨裁政權,如今,我們的新使命是守護台灣,並且促進台灣的民主、和平與繁榮。」 宣言也指出,民進黨身為執政黨,從2016年以來,推動各項經濟政策,持續壯大台灣,也積極連結國際盟友,加強合作。"
_3d7693d01dd6_u015,DPP,L1-03,D democratic-alliance + trade,False,False,"捷克廣播電台報導,捷克外交部長利帕夫斯基回應,捷克政府政策相當明確且沒有改變,「施政綱領」強調將強化與印太民主夥伴間經濟、科技合作,台灣也明文在列,他認為帕維爾的想法也非常相似。"
_420c9d37f1e6_u002,KMT,L1-03,D democratic-alliance + trade,False,False,"許淑華表示,中華民國國軍在金門誓死抵抗共軍,守住中華民國的存續,更守住台灣往後數十年,以扎實的經濟和民主自由,向世界民主同盟深化交流的基礎,這是身在台灣的任何政黨、任何人,都無法否定的歷史事實。"
_420c9d37f1e6_u003,KMT,L1-03,H other,False,False,"許淑華認為,面對如今的兩岸局勢,必須感念過去國軍先烈的犧牲,更不能忘記先人們幾十年來的苦心經營與捨身捍衛,所打下的扎實民主自由與經濟基礎,這些是中華民國的根,是台灣人民的本。"
_42989eba36a6_u002,KMT,L1-03,H other,True,True,"總統選舉首場政見會 侯友宜賴清德柯文哲發言一覽 賴清德在政見會上承諾,將為國家社會人民扛起4項重大使命,透過4大和平支柱行動方案、發展5大信賴產業等,保衛國家生存、守護2350萬人生命、照顧全國民眾生活,打造民主和平的台灣。"
_43b9877cdc9c_u041,KMT,L1-06,G page furniture,False,True,總統候選人政見會最終場發言一覽 柯侯賴交鋒校園安全、兩岸議題 副總統候選人政見會 吳欣盈趙少康蕭美琴發言內容一次看 歷屆總統大選中國介選手段一覽 飛彈試射經貿報復擾民心 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 侯友宜辯論會火力全開 打賴冷柯意味濃 總統辯論會侯友宜柯文哲圍攻賴清德 激戰憲法兩岸論述 法國外交部賀台灣選舉展現民主 呼籲尊重現狀 新北市議會民進黨團要求侯友宜到會補施政報告 網傳投票箱夾層藏票 查核中心:錯誤訊息 黃珊珊黃國昌扛立院攻防 備戰2026肩負白營母雞重擔 2024/01/01 19:32 2023/12/30 18:06 2023/12/30 17:38 2023/12/30 17:17 2023/12/30 17:10 2023/12/30 17:08
_4768085535b9_u006,TPP,L1-05,H other,True,True,"賴清德引用前總統李登輝的「民之所欲,長在我心」指出,信賴民主目標在司法革新面,一是當民眾有需要時,法律服務必須長在,將法律服務視為人權的一種,無論民眾居住在都市或偏鄉、是否為經濟弱勢,都要提供民眾可近性、普及性、方便性的法律服務。"
_4768085535b9_u010,TPP,L1-03,C achievement list,True,False,"他說,在這國際情勢複雜、兩岸氛圍越益激烈的情況下,只要不忘用和平當目標、民主做指南針,相信以眾人的智慧,以及台灣幾十年來打下來的民主成就、自由成果、經濟實力等,絕對會成功乘風破浪,達到理想目標。"
_4dbcb98e1c97_u007,KMT,L1-03,H other,True,False,"柯文哲強調,2024年,是台灣完成第三波民主化的歷史時刻,民眾黨會在勝選後秉持初衷與理念,致力創造「社會和諧、政黨和解、兩岸和平」,用繁盛的經濟和軟實力,讓台灣成為世界的焦點。"
_50077d8fa192_u009,DPP,L1-01,D democratic-alliance + trade,False,True,"民眾黨如果要藉服貿這件事,挑撥賴清德和蔡英文是沒有效的,因為無論是蔡或賴,兩人路線都是認為台灣要跟美國、日本和其他民主國家進行經貿交流和合作,而不能依賴中國單一市場,大家都對中國保持戒心,若服貿真的上路,台灣經濟會非常慘。"
_50077d8fa192_u012,DPP,L1-03,H other,True,False,"賴瑞隆強調,台灣不能成為「一國兩制」的樣板,國家主權、民主、經濟都不能被犧牲,香港就是血淋淋例子。"
_50d18ba973c1_u014,DPP,L1-06,C achievement list,True,False,"這次非洲各國國會議員及政要等各界友人對蔡總統二度出訪非洲的熱烈歡迎與支持,顯示我國的自由民主、開放的經濟制度,以及藉由踏實外交、互惠互助與非洲國家合作的「台灣模式」,受到非洲友人的認同與肯定。"
_50fc79ba72b7_u004,KMT,L1-06,H other,True,False,"侯友宜自信表示,投給「侯趙配」代表了我國第三波的民主革命,這一票涉及國家安全、社會安全、公平正義和未來經濟發展,兩岸只有和平才能創造安居樂業的環境,以及清明、廉能、有效率的政府,「侯趙配」是在野陣營最強的組合,只有集中選票投給藍營,才能實現政黨輪替、民主制衡。"
_51c7c9109a8a_u003,TPP,L1-03,E China threatens both,False,False,"蔡英文指出:「自從去年峰會以來,我們看見威權政權帶來更多威脅,為了擴大影響力,這些政權積極運用影響力操作,來侵蝕我們對民主體制和自由的信心,並利用錯假訊息及認知戰在海內外分化我們,中國共產黨更是在經濟和政治上,對不同意或質疑其行為的國家、組織及個人升高脅迫手段。」 蔡英文表示,不僅如此,民主聯盟基金會和主席拉斯穆森,"
_52a638378148_u008,TPP,L1-07,C achievement list,True,False,"到場為黨籍候選人助講的行政院長陳建仁,則是提出蔡英文政府8年來的經濟、勞工、衛生、教育、交通等各項政策,以國際都在關注台灣這場大選的重要性,呼籲民眾若未來能享有自由民主法治、和平繁榮,一定要投給民進黨。"
_54efd1e5c1e3_u002,DPP,L1-01,H other,False,False,英經濟陷入40年最疲弱困境 願景一 擺脫歐盟制約 事實上 英國對外貿易力道銳減 願景二 擺脫「歐洲式社會民主模式」緊箍咒 事實上 淪為政治操作 願景三 重新掌握邊境控制權、限制移民 事實上 大量缺工導致成本驟增 前首相強森任內更引入移民積分系統。
_57f812ddd5d1_u026,TPP,L1-03,H other,False,False,"日台是命運共同體,因此日本對台灣的總統選舉很重視,就日本的立場來說,希望台灣可維持自由、民主及自由經濟。"
_5a272d4d5ba4_u008,TPP,L1-03,D democratic-alliance + trade,False,False,"未來我們非常希望能夠加強與葡萄牙的合作關係,包括經濟與安全等合作,增進兩國人民福祉,成為民主國家最重要的夥伴。"
_5acc8f59baa7_u001,DPP,L1-06,B four-slogan list,True,False,他提出「拚經濟、護民主、強國防、保和平」訴求;
_5acc8f59baa7_u009,DPP,L1-03,B four-slogan list,True,False,"他表示,請給他機會帶領國家,團結國人一起拚經濟、護民主、強國防、保和平,共同完成守護台灣、促進民主、和平及繁榮的新時代使命;"
_5c2af3b11db4_u002,TPP,L1-06,H other,False,False,"黃揚明在臉書透露,據綠營內部消息傳出,林飛帆將可望於近期接任由外交部捐助的「財團法人台灣民主基金會」專任副執行長一職,依該基金會公開資訊,現任專任副執行長月薪達11萬餘元,若林比照該薪資待遇聘任,將較過去民進黨副祕書長職務的月薪9萬元更高。"
_5cffad87968c_u007,KMT,L1-03,H other,False,False,"賴副總統指出,媽祖是重要文化信仰,台灣定期改選總統,就已是主權獨立的國家,台灣不屬於任何一個國家,是屬於台灣人民,他祈求天上聖母保佑2024總統大選,國家的主人台灣人民都能根據自己意願,不受外力影響、假訊息干擾,選出最佳人選,組成最負責的團隊,帶領台灣持續走入國際社會,對內發展經濟造顧人民,不僅建構兩岸和平,也能持續推動台灣的發展,在民主的道路上持續壯大台灣。"
_5e83e31eaafd_u014,TPP,L1-03,A Lai's four-pillar formula,True,True,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。"
_5f75de25bc0c_u010,DPP,L1-03,H other,False,True,"賴清德表示,如果台灣向中國再度靠攏,台灣就將失去優勢,外資對台灣的投資更可能暫緩或停止,因此台灣必須要贏得這一仗,為自己贏、讓世界的台灣贏,也贏得全球民主的第一場勝利。"
_6100894074c7_u007,DPP,L1-05,H other,True,True,"楊懿珊承諾會轉達訴求給黨中央,她強調,集會遊行是人民重要民主能量的展現,民進黨絕對支持,也認同台灣歷經疫情衝擊後,現在正是國際經濟秩序重整、社會資源重新分配的關鍵時間點,居住正義、司法改革等確實還有努力的方向,賴清德日前拋出補助私立大學學雜費,也是站在公平正義的改革立場。"
_61a754e03a12_u011,TPP,L1-03,A Lai's four-pillar formula,True,True,"凱道晚會造勢 蔡英文挺賴清德:再相信我一次 賴清德提出「4個保證」,第1個保證是「保衛國家生存,守護人民生命」,和平靠實力,不是靠侵略者善意,他會持續強化國防、強化經濟、強化和民主陣營合作,發揮威懾力量,不卑不亢維持現狀,守護國家生存發展,維護2300萬人寶貴性命。"
_65b70ebeeb33_u009,TPP,L1-07,H other,False,True,黃士修:默契好合作空間大 柯文哲:合作要贏才有用 別導致民進黨又單獨過半 侯辦:若拒納民主初選 民眾黨須為藍白無法合作負責 羅森柏格:拜會賴柯侯不是面試 美國不會選邊站 涉給每人400元支持郭台銘連署 新埔鎮代會主席遭羈押禁見 鬆口見過朱侯 柯文哲:選後設政黨協商委員會 不會整碗捧去 賴清德駁登門拜訪 柯辦:民眾關心的是具體能源政策 藍白合無共識 朱立倫呼籲侯友宜、柯文哲多忍一點 賴清德提加碼技職投資 設學士後專班供深造機會 「人選之人」公視如期28日播出 加字卡導讀強調虛構性 2025/05/23 12:48 2023/10/20 16:11 2023/10/20 13:07 2023/10/19 20:58 2023/10/19 17:10 2023/10/18 17:13
_67481dd74869_u010,KMT,L1-06,C achievement list,False,True,"對於僑界關心國家發展,賴清德也說明,台灣這幾年來在大家共同努力下,不僅在民主自由成就贏得國際社會肯定,經濟也不斷壯大成長。"
_67c0fe50f8a9_u006,KMT,L1-03,E China threatens both,False,False,"他強調,「全世界都對中國做出了決定」,不管是美國對中國撤資或G7對中「去風險化」,我們站在民主陣營,應延續民主自由同盟的世界,若持續回到九二共識、回到跟中國同一個經濟體,我們的經濟就沒有辦法獨立,文化就沒有辦法深根,那樣如何面對台灣下一代?"
_6dac1b78a4c3_u005,TPP,L1-03,D democratic-alliance + trade,False,False,"「我要請各位相信,瓜國將繼續站在中華民國台灣這邊,作為最堅實的邦交國!」賈麥岱表示,雙方將持續深化各領域合作,特別是醫療衛生、經濟及基礎建設方面,作為台灣在國際社會理念相近的國家及民主夥伴,瓜國已經準備好與台灣攜手並進,朝國家發展繁榮的目標前進。"
_6dd655094f83_u002,KMT,L1-06,H other,True,True,"賴清德也在致詞中,提到未來給予台灣人民的「4個承諾」,包含「守護台灣民主自由」、「維持兩岸和平」、「全力拚民生經濟」以及「打擊黑金槍毒」。"
_6dd655094f83_u004,KMT,L1-07,H other,False,False,"蘇貞昌致詞表示,明年台灣及美國的大選舉世矚目,在總統蔡英文的帶領下,全世界都很重視台灣,不只半導體重要,台灣的安全、自由民主都很重要,民主就如同香火,都應該代代傳下去。"
_6f32a0c7337a_u008,DPP,L1-04,A Lai's four-pillar formula,True,True,"賴清德也提出「四大支柱」的政見理念,盼望強化國防、促進經濟、與志同道合的世界民主陣營站在一起,在民主自由與人權的道路上,持續壯大台灣,讓老幼都能安居樂業。"
_6fa42262dc52_u004,TPP,L1-04,H other,True,True,"總統選舉首場政見會 侯友宜賴清德柯文哲發言一覽[影] 在內政議題方面,賴清德表示,他除了要打造民主和平的台灣,還要擴大社會投資,加薪、減稅、少負擔三原則,讓每個人在人生的每個階段都能獲得最大的協助,讓年輕人看到希望、壯年人實現夢想、老人擁有幸福、弱勢者可以得到照顧。"
_7158de126bdc_u016,TPP,L1-06,D democratic-alliance + trade,False,False,"吳欣盈表示,前世界50幾個民主國家都採用「歐盟GDPR個資法」,並在申論環節也主張引進。"
_73b2f99cdd86_u001,DPP,L1-04,H other,False,True,"兼任民進黨主席的副總統賴清德今天說,台灣經濟、民主表現優異,不能再以「行人地獄」惡名現於國際,因此邀請專家進國會。"
_73b2f99cdd86_u006,DPP,L1-06,C achievement list,False,True,"「台灣在國際上,經濟是優等生,民主更是世界的模範生,不可以讓行人地獄這個惡名繼續在我們身上。」賴清德說,台灣要成為自由國家,除了民主自由人權,各方面都要持續進步,因此邀請專家擔任立委共同努力,不要讓台灣行人地獄惡名在出現於國際上,「這不是技術的問題,是決心的問題,眾志成城,我們一定做得到」。"
_76b06263eeff_u001,DPP,L1-06,C achievement list,True,True,"〔記者陳昀/台北報導〕民進黨總統參選人、副總統賴清德今出席「挑戰2032——台灣國家願景系列論壇」時表示,全球產業鏈正在重組、世界各國無不佈局新局面,台灣位處西太平洋第一島鏈,不只是印太和平戰略、民主價值、產業科技安全的重要角色,也是全球重建民主架構非常重要的價值夥伴,期盼將論壇5大面向結論納入競選政見,共同推動國家希望工程,讓台灣達到民主、和平、繁榮3大目標。"
_76bdc335783c_u008,TPP,L1-03,E China threatens both,False,True,"歷屆總統大選中國介選手段一覽 飛彈試射經貿報復擾民心 美媒:中國正透過社群介入選舉 台灣應有能力抵擋 他說,民眾一定要關注介選問題,選他和蕭美琴是粉碎中國介選最有效手段,如果中國要什麼人、那個人也當選,台灣民主將蕩然無存,這就不是選總統,而是特別行政區行政長官;"
_81e29bf712fa_u006,TPP,L1-03,D democratic-alliance + trade,True,False,"台灣有執半導體牛耳、經貿實力全球名列全茅、戰略地位重要等優勢,更重要的是,台灣是民主國家的重要夥伴,台灣若倒了影響甚鉅,許多國家經濟不是崩潰就是停滯,台灣海峽亦有極高經濟及戰略價值,每天經過台海的貨櫃輪占全球百分之四十八,台灣海峽掌控全世界一半的經濟命脈,若中共奪取台灣,國際貿易路線要改寫,"
_8357f298bfa8_u003,DPP,L1-06,C achievement list,True,True,"賴清德會中表示,信賴台灣之友會成立,就是要信賴台灣、守護台灣,壯大中華民國台灣,台灣幾十年來民主進步、國家發展以及經濟成績獲國際肯定,都是大家共同努力的結果,在總統蔡英文帶領下讓國際看到台灣,他要持續守護、壯大民主的台灣。"
_88bbe3d7ce95_u009,TPP,L1-03,A Lai's four-pillar formula,True,False,"他強調,相較其他參選人,他若當選總統,最能夠守護國家安全與國家利益,且已經奠基在蔡總統4大堅持之上,提出和平4大支柱行動方案,包括強化國防國安力量、強化台灣經濟實力、強化台灣與民主陣營關係,以及只要中國能顧及台灣尊嚴與對等,願意伸出橄欖枝與中國對話合作。"
_8a5c2cbcd459_u002,DPP,L1-06,C achievement list,False,True,"賴清德說,他6日以參選人身分,公布國家希望工程國政藍圖,希望結合社會各界力量,打造民主和平、創新繁榮及公義永續的台灣,而他今天是第一次召開記者會,向民眾提出分項政策,主題是0歲到22歲投資未來世代。"
_90ef12c24a58_u002,DPP,L1-03,C achievement list,True,True,"賴清德致詞強調,和平不是低頭求來、也不是對方賜給的,而是以民主及國防為後盾,他並呼籲不要聽信網路假訊息認知作戰,大家秉持過去為台灣民主與經濟發展所拚成果,繼續跟他一起「加油」併肩作戰,守護民主、深化民主,更促進台灣繁榮發展。"
