stratum,pair,n_ab,null_mean,ratio,z,p_perm,q_bh,n_sent
S2 own named+speaking,01-07,126,120.49,1.046,1.57,0.1677,0.6008,2503
S2 own named+speaking,01-08,52,51.17,1.016,0.29,0.8303,1.0,2503
S2 own named+speaking,02-03,0,0.04,0.0,-0.2,1.0,1.0,2503
S2 own named+speaking,02-04,8,7.47,1.071,0.37,0.9461,1.0,2503
S2 own named+speaking,02-05,24,24.09,0.996,-0.04,1.0,1.0,2503
S2 own named+speaking,02-06,7,9.54,0.734,-1.14,0.3513,0.7505,2503
S2 own named+speaking,02-07,31,30.82,1.006,0.07,1.0,1.0,2503
S2 own named+speaking,02-08,28,21.08,1.328,2.87,0.004,0.0279,2503
S2 own named+speaking,03-04,1,1.14,0.874,-0.18,1.0,1.0,2503
S2 own named+speaking,03-05,1,2.84,0.353,-1.41,0.3114,0.7505,2503
S2 own named+speaking,03-06,10,8.33,1.201,1.15,0.3752,0.7505,2503
S2 own named+speaking,03-07,20,19.89,1.005,0.07,1.0,1.0,2503
S2 own named+speaking,03-08,2,4.05,0.494,-1.4,0.2635,0.7377,2503
S2 own named+speaking,04-05,33,34.98,0.943,-0.72,0.5469,0.9402,2503
S2 own named+speaking,04-06,35,30.73,1.139,1.54,0.1717,0.6008,2503
S2 own named+speaking,04-07,63,68.71,0.917,-1.88,0.0998,0.5589,2503
S2 own named+speaking,04-08,44,36.69,1.199,3.26,0.004,0.0279,2503
S2 own named+speaking,05-06,60,63.79,0.941,-1.04,0.3393,0.7505,2503
S2 own named+speaking,05-07,191,192.55,0.992,-0.39,0.8463,1.0,2503
S2 own named+speaking,05-08,70,70.96,0.986,-0.3,0.9182,1.0,2503
S2 own named+speaking,06-07,163,177.53,0.918,-3.69,0.004,0.0279,2503
S2 own named+speaking,06-08,50,55.71,0.898,-1.68,0.1397,0.6008,2503
S2 own named+speaking,07-08,191,186.28,1.025,1.24,0.2475,0.7377,2503
"S3 own named, not speaking",01-02,18,14.04,1.282,2.63,0.0279,0.2608,4420
"S3 own named, not speaking",01-03,4,4.77,0.839,-1.11,0.7705,1.0,4420
"S3 own named, not speaking",01-04,5,4.75,1.052,0.18,1.0,1.0,4420
"S3 own named, not speaking",01-05,44,45.67,0.963,-0.81,0.6028,1.0,4420
"S3 own named, not speaking",01-06,60,58.94,1.018,0.41,0.8463,1.0,4420
"S3 own named, not speaking",01-07,71,70.4,1.009,0.24,0.9381,1.0,4420
"S3 own named, not speaking",01-08,29,26.18,1.108,1.47,0.2475,1.0,4420
"S3 own named, not speaking",02-03,0,0.0,,,1.0,1.0,4420
"S3 own named, not speaking",02-04,5,3.77,1.327,1.28,0.4471,1.0,4420
"S3 own named, not speaking",02-05,15,15.46,0.97,-0.26,1.0,1.0,4420
"S3 own named, not speaking",02-06,5,9.15,0.546,-3.04,0.004,0.0559,4420
"S3 own named, not speaking",02-07,20,19.83,1.009,0.11,1.0,1.0,4420
"S3 own named, not speaking",02-08,22,18.55,1.186,2.99,0.004,0.0559,4420
"S3 own named, not speaking",03-04,0,0.59,0.0,-1.2,0.8184,1.0,4420
"S3 own named, not speaking",03-05,3,2.57,1.166,0.87,1.0,1.0,4420
"S3 own named, not speaking",03-06,4,3.49,1.145,0.62,1.0,1.0,4420
"S3 own named, not speaking",03-07,5,4.57,1.094,0.87,1.0,1.0,4420
"S3 own named, not speaking",03-08,2,2.43,0.822,-0.87,1.0,1.0,4420
"S3 own named, not speaking",04-05,25,27.37,0.913,-1.29,0.3194,1.0,4420
"S3 own named, not speaking",04-06,14,15.37,0.911,-0.7,0.6547,1.0,4420
"S3 own named, not speaking",04-07,29,31.84,0.911,-1.23,0.3234,1.0,4420
"S3 own named, not speaking",04-08,16,14.47,1.106,1.14,0.4152,1.0,4420
"S3 own named, not speaking",05-06,41,39.32,1.043,0.7,0.6747,1.0,4420
"S3 own named, not speaking",05-07,116,117.85,0.984,-0.64,0.6507,1.0,4420
"S3 own named, not speaking",05-08,43,42.07,1.022,0.44,0.8383,1.0,4420
"S3 own named, not speaking",06-07,108,111.12,0.972,-1.06,0.3553,1.0,4420
"S3 own named, not speaking",06-08,33,35.09,0.94,-1.03,0.4311,1.0,4420
"S3 own named, not speaking",07-08,102,99.34,1.027,1.21,0.3234,1.0,4420
"S4 no name, speech-marked",01-02,52,43.18,1.204,3.57,0.004,0.1118,3215
"S4 no name, speech-marked",01-03,18,17.75,1.014,0.15,1.0,1.0,3215
"S4 no name, speech-marked",01-04,35,37.01,0.946,-0.84,0.519,0.8548,3215
"S4 no name, speech-marked",01-05,88,89.33,0.985,-0.37,0.8144,1.0,3215
"S4 no name, speech-marked",01-06,102,96.14,1.061,1.8,0.0958,0.3832,3215
"S4 no name, speech-marked",01-07,119,123.59,0.963,-1.14,0.3074,0.5738,3215
"S4 no name, speech-marked",01-08,62,56.06,1.106,1.73,0.1198,0.4192,3215
"S4 no name, speech-marked",02-03,3,2.42,1.241,0.51,0.9182,1.0,3215
"S4 no name, speech-marked",02-04,15,12.61,1.19,1.25,0.3074,0.5738,3215
"S4 no name, speech-marked",02-05,35,36.42,0.961,-0.6,0.7705,1.0,3215
"S4 no name, speech-marked",02-06,13,15.86,0.82,-1.73,0.1557,0.4359,3215
"S4 no name, speech-marked",02-07,31,35.69,0.869,-2.0,0.0599,0.2794,3215
"S4 no name, speech-marked",02-08,27,25.72,1.05,0.58,0.6786,0.9501,3215
"S4 no name, speech-marked",03-04,3,4.58,0.655,-1.1,0.479,0.8383,3215
"S4 no name, speech-marked",03-05,7,8.12,0.862,-0.82,0.6707,0.9501,3215
"S4 no name, speech-marked",03-06,10,9.35,1.069,0.4,0.9102,1.0,3215
"S4 no name, speech-marked",03-07,17,17.04,0.998,-0.02,1.0,1.0,3215
"S4 no name, speech-marked",03-08,5,5.48,0.913,-0.35,1.0,1.0,3215
"S4 no name, speech-marked",04-05,32,27.93,1.146,1.59,0.1916,0.4878,3215
"S4 no name, speech-marked",04-06,40,35.46,1.128,1.75,0.1477,0.4359,3215
"S4 no name, speech-marked",04-07,62,65.7,0.944,-1.3,0.2475,0.5738,3215
"S4 no name, speech-marked",04-08,39,36.07,1.081,1.24,0.2874,0.5738,3215
"S4 no name, speech-marked",05-06,41,49.3,0.832,-2.69,0.008,0.1118,3215
"S4 no name, speech-marked",05-07,158,155.64,1.015,0.65,0.6427,0.9501,3215
"S4 no name, speech-marked",05-08,61,61.73,0.988,-0.21,0.9461,1.0,3215
"S4 no name, speech-marked",06-07,132,139.18,0.948,-1.91,0.0559,0.2794,3215
"S4 no name, speech-marked",06-08,42,48.89,0.859,-2.24,0.024,0.2236,3215
"S4 no name, speech-marked",07-08,139,131.78,1.055,2.02,0.0519,0.2794,3215
"S5 no name, plain",01-02,26,19.65,1.323,2.74,0.016,0.1118,6054
"S5 no name, plain",01-03,19,18.63,1.02,0.19,1.0,1.0,6054
"S5 no name, plain",01-04,23,26.51,0.868,-1.34,0.2635,0.5675,6054
"S5 no name, plain",01-05,87,97.31,0.894,-2.44,0.024,0.1304,6054
"S5 no name, plain",01-06,156,148.85,1.048,1.58,0.1477,0.376,6054
"S5 no name, plain",01-07,176,174.95,1.006,0.2,0.9062,1.0,6054
"S5 no name, plain",01-08,77,72.98,1.055,1.09,0.3673,0.6904,6054
"S5 no name, plain",02-03,1,1.68,0.595,-0.65,0.8583,1.0,6054
"S5 no name, plain",02-04,9,8.66,1.039,0.29,1.0,1.0,6054
"S5 no name, plain",02-05,25,24.79,1.009,0.08,1.0,1.0,6054
"S5 no name, plain",02-06,13,9.79,1.327,1.93,0.1038,0.3229,6054
"S5 no name, plain",02-07,21,22.37,0.939,-0.56,0.7345,0.9794,6054
"S5 no name, plain",02-08,23,17.6,1.307,2.58,0.0279,0.1304,6054
"S5 no name, plain",03-04,5,4.08,1.225,1.08,0.5549,0.8632,6054
"S5 no name, plain",03-05,10,9.56,1.046,0.26,1.0,1.0,6054
"S5 no name, plain",03-06,21,21.52,0.976,-0.27,1.0,1.0,6054
"S5 no name, plain",03-07,25,19.37,1.291,2.71,0.012,0.1118,6054
"S5 no name, plain",03-08,5,6.35,0.788,-0.9,0.5948,0.8766,6054
"S5 no name, plain",04-05,27,24.51,1.102,0.99,0.3992,0.6904,6054
"S5 no name, plain",04-06,40,32.24,1.241,3.02,0.016,0.1118,6054
"S5 no name, plain",04-07,53,51.49,1.029,0.52,0.7226,0.9794,6054
"S5 no name, plain",04-08,37,34.49,1.073,1.04,0.4072,0.6904,6054
"S5 no name, plain",05-06,59,70.49,0.837,-2.97,0.008,0.1118,6054
"S5 no name, plain",05-07,161,168.09,0.958,-1.45,0.1876,0.4378,6054
"S5 no name, plain",05-08,60,63.78,0.941,-0.96,0.4192,0.6904,6054
"S5 no name, plain",06-07,216,225.35,0.959,-1.67,0.1277,0.3577,6054
"S5 no name, plain",06-08,57,65.73,0.867,-2.27,0.0479,0.1916,6054
"S5 no name, plain",07-08,163,154.18,1.057,1.95,0.0599,0.2096,6054
cross,01-02,53,38.95,1.361,5.08,0.004,0.0559,3742
cross,01-03,6,4.91,1.223,1.46,0.3872,0.5706,3742
cross,01-04,18,21.12,0.852,-1.17,0.3513,0.5465,3742
cross,01-05,69,71.89,0.96,-0.75,0.6108,0.8551,3742
cross,01-06,68,61.93,1.098,1.59,0.1477,0.3353,3742
cross,01-07,113,125.02,0.904,-2.64,0.012,0.0559,3742
cross,01-08,69,58.1,1.188,2.97,0.008,0.0559,3742
cross,02-03,1,0.74,1.359,0.41,1.0,1.0,3742
cross,02-04,17,14.49,1.173,1.3,0.3154,0.5465,3742
cross,02-05,31,31.68,0.978,-0.26,0.9621,1.0,3742
cross,02-06,15,14.0,1.071,0.49,0.7784,1.0,3742
cross,02-07,38,44.65,0.851,-2.18,0.0439,0.1537,3742
cross,02-08,41,31.01,1.322,3.74,0.004,0.0559,3742
cross,03-04,3,3.24,0.926,-0.52,1.0,1.0,3742
cross,03-05,5,3.68,1.36,1.64,0.2914,0.544,3742
cross,03-06,4,4.35,0.919,-0.41,1.0,1.0,3742
cross,03-07,8,8.66,0.924,-0.63,0.9102,1.0,3742
cross,03-08,3,3.04,0.986,-0.08,1.0,1.0,3742
cross,04-05,32,31.25,1.024,0.27,0.9142,1.0,3742
cross,04-06,49,40.76,1.202,2.6,0.012,0.0559,3742
cross,04-07,54,62.03,0.87,-2.34,0.024,0.0958,3742
cross,04-08,35,29.51,1.186,2.03,0.0798,0.2236,3742
cross,05-06,69,75.13,0.918,-1.55,0.1557,0.3353,3742
cross,05-07,159,166.57,0.955,-1.61,0.1517,0.3353,3742
cross,05-08,60,64.28,0.933,-1.12,0.3353,0.5465,3742
cross,06-07,167,179.64,0.93,-2.71,0.012,0.0559,3742
cross,06-08,43,47.61,0.903,-1.31,0.2236,0.4471,3742
cross,07-08,161,152.77,1.054,1.93,0.0519,0.1615,3742
