camp,genre,L1,l2s,sent_text
KMT,news,L1-03,L2-04+L2-06+L2-07+L2-08,"「把中華民國當護國神山」賴清德坦承口誤:少講了憲法兩字 賴清德表示,台灣已經從專制獨裁的時代,走向今天民主自由開放的時光,大家要珍惜這一切,也不能走回頭路,未來他當總統一定會凝聚台灣共識,走出一條大家團結的道路,既能夠保護國家、發展經濟,也能夠造福全國人民。"
DPP,news,L1-06,L2-02+L2-04+L2-07+L2-08,"至於兩岸外交問題,賴清德表示,常常會有些人講說,中美之間如何選擇,他認為這應該是民主、專制間選擇,這個才是根本,台灣從專制獨裁的黑暗時代走到今天自由民主,知道黑暗的痛苦,也嘗到民主的幸福,要在民主的道路上繼續走,不能走回頭路。"
DPP,news,L1-06,L2-04+L2-08,"賴副總統說,在一代又一代人,前仆後繼的努力之下,終於用民主的力量,推翻威權獨裁的高牆,成功走到如今的民主自由。"
KMT,news,L1-03,L2-01+L2-04+L2-06+L2-08,"許淑華認為,面對如今的兩岸局勢,必須感念過去國軍先烈的犧牲,更不能忘記先人們幾十年來的苦心經營與捨身捍衛,所打下的扎實民主自由與經濟基礎,這些是中華民國的根,是台灣人民的本。"
DPP,news,L1-05,L2-04+L2-07+L2-08,"金三角文化基金會董事長王根深表示,孤軍後裔將中華民國視為祖國,卻因政策關係,既無身分證,也沒有健保,只能打黑工.問題糾葛幾十年,其祖父和父執輩為國家犧牲奉獻,子女卻未能被真正照顧到,以前的政府沒有好好處理,現在台灣是一個民主開放的國家,希望讓他們得到一個基本合法的生存權利。"
DPP,news,L1-06,L2-04+L2-07+L2-08,"唐鳳表示,這類合作計畫「使審議式民主(deliberative democracy)更具擴展性。它還可以讓人工智慧的發展更加民主,因為有權決定AI應該如何運作的不僅是頂尖實驗室的少數工程師,還有人們本身。」 報導指出,事實上,台灣政府過去也曾採用這種協商方式進行治理,最值得注意的案例是在2015年,Uber引發計程車司機強烈反對一案,政府最終將民眾建議納入政策。"
DPP,news,L1-03,L2-04+L2-07+L2-08,"他並強調,過去雲林站在民主第一線,「舉頭旗、戰頭陣,打死不退!」呼籲未來繼續共同守護台灣,守護台灣的主權,促進台灣民主、和平、繁榮,共同為台灣、雲林打拚。"
DPP,news,L1-03,L2-04+L2-05+L2-08,"賴清德說,民進黨創立後團結各方力量、加強社會連結,突破黨禁、報禁、廢除刑法100條、終止世上最久的戒嚴,他也在1996年台海危機時棄醫從政,但30年來兩岸情勢沒有因為時間變遷改善,中國併吞台灣的企圖沒改變。"
DPP,news,L1-03,L2-02+L2-04+L2-05+L2-07+L2-08,"賴清德說,有主權才有民主,有民主才有自由,有自由才有宗教自由,「過去,隔壁(中國)還把神明請去廁所,現在對宗教還是壓迫,不管是天主教或基督教都遇到這樣的困難」,希望台灣主權、民主、自由、宗教都能繼續發展。"
DPP,news,L1-06,L2-04+L2-06+L2-07+L2-08,"陳弱水今天透過臉書表示,「臉書上不少人在祝中華民國生日快樂,看得有點頭昏,10月10日不是中華民國的生日!中華民國的生日是1月1日,中華民國成立於1912年1月1日,臨時大總統孫中山的政府把這天訂為『開國紀念日』。」 他接著說:「10月10日是湖北革命團體文學社、共進會和新軍分子前一年在武昌武裝起事的日子,如果打生物性的比喻,這要算什麼日呢?無論如何,袁世凱政府和臨時參議院覺得這一天很重要,在1912年9月28日把10月10日訂為『國慶日』。」 陳弱水直言:「這有貶抑孫中山在1月1日建立新政府的用意,不過北洋政府繼續承認『開國紀念日』,另外又訂2月12日為『宣布共和南北統一紀念日』(宣統在該日退位,帝制變為共和)。關於第三個紀念日,國民黨後來就不認帳了。台灣2023年在慶祝袁世凱訂定的節日,真的很奇幻!我們說不定需要一個能代表台灣新精神的節日,譬如『台灣民主紀念日』。」 10月10日為國慶日,國旗屋自辦國慶升旗典禮,民眾熱情參與。"
DPP,news,L1-04,L2-04+L2-08,"民主自由的貢獻 女性沒有缺席 賴清德表示,民主自由固然男性貢獻很多,但女性也沒有缺席,如前副總統呂秀蓮、監察院長陳菊、美麗島事件的受刑人們都非常勇敢,總統府資政葉菊蘭等因為丈夫投入政治的女性也一樣;"
TPP,news,L1-07,L2-04+L2-08,"柯文哲曾說賴清德板凳坐1/3、很拘謹,賴清德說,板凳坐1/3的人,在歷史上曾聽過的人就是前總統李登輝在面對前總統蔣經國時,「我不是李登輝總統,現在是民主時代,柯文哲主席也不是蔣經國。他也不必以蔣經國自居」。"
TPP,news,L1-03,L2-04+L2-08,"蔡總統表示,1996年第一次直選總統,從那刻起,國家已經還給2300萬台灣人民,現在大家所在的這條路,也從充滿威權的「介壽路」,改名「凱達格蘭大道」。"
DPP,news,L1-03,L2-01+L2-04+L2-05+L2-08,"賴清德表示,台灣是民主自由的國家,大家才有幸福快樂的機會,他特別細數多位民進黨女性政治人物的貢獻,包括前副總統呂秀蓮、監察院長陳菊、總統府資政葉菊蘭、前彰化縣長周清玉、作家黃越綏等人,且除了站在第一線對抗專制獨裁的女性,在家庭的婦女也貢獻非常大。"
TPP,news,L1-05,L2-04+L2-07+L2-08,"為針對現行司法制度為威權體制的殘留,與現代民主社會主權在民的原則不符,不希望司法改革總是淪爲口號,曹興誠及聯盟代表林佳和教授、籌備處代表陳為祥等具改革意識的人士,共同發起籌組台灣公民人權聯盟(TCLU),希望運用現代管理概念和原理,效法美國ACLU,推動司法改革。"
DPP,news,L1-06,L2-04+L2-07+L2-08,"陳定南當年以「400年來第1戰,要將台灣變青天」口號競選省長,而自荷蘭人1624年登陸台灣起算,明年正好滿400年,基金會籌畫「做自己的主人-1994省長選舉」特展,從陳定南參選的角度切入,分享當年省長選舉的歷史意義及台灣民主發展史,展期1年,今天開幕。"
DPP,news,L1-03,L2-04+L2-05+L2-07+L2-08,"2019年,賴清德與蔡英文黨內初選,結果出爐隔天,賴清德就來找他,隆重叮嚀,要全力支持蔡英文當選連任,否則「今日香港,明日台灣」,賴清德更以陳定南為政治啟蒙導師,其連任台南市長的票數,還高於陳定南競選連任的70%,林光義笑道,「清出於藍,更勝於南」,呼籲大家這次選舉,全力支持賴清德。"
DPP,news,L1-04,L2-04+L2-06+L2-08,"擔任國慶大會主席的立法院長游錫堃在大會上致詞,以漢語朗誦自己創作的詩「淬鍊」,指台灣民主成就並非天上掉下來,而是經過百年奮鬥而得。"
DPP,news,L1-04,L2-04+L2-05+L2-08,"「2019年反送中的民主抗議運動席捲,令我印象深刻,不禁想若台灣沒有保留這些故事和食譜,會不會和香港一樣很快失去文化?」 接著COVID-19(2019冠狀病毒疾病)疫情爆發,她和丈夫決定回台定居至今。"
KMT,news,L1-02,L2-04+L2-05+L2-08,"吳欣岱在臉書PO文表示,中國國民黨李彥秀操作吹冷氣,其實跟以前我們看到的韓國瑜和陳其邁辯論,結果新聞出來是「陳其邁戴耳機」一樣荒謬,作為第四權的媒體,公然散佈扭曲事實的新聞,而且被中國黨拿來利用,「利用民主來反民主」才是台灣社會現在面臨到的最大問題。"
TPP,news,L1-03,L2-01+L2-02+L2-04+L2-08,"他強調,台灣沒有九二共識,只有「九六共識」。"
DPP,news,L1-03,L2-04+L2-05+L2-07+L2-08,"賴清德提到,有人說「選擇民進黨就會發生戰爭」,並非事實,前總統陳水扁任內、總統蔡英文執政進入第8年,都沒有發生過戰爭,而過去823砲戰、大陳島撤退等,都不是民進黨執政,「所以不是什麼人執政的問題,是中國大陸企圖併吞台灣的問題,會不會戰爭,是中國獨裁者本身的決定。」 賴清德說,民進黨有執政經驗,如果他當選總統,其中一個任務就是穩定台海和平現狀,維持台灣民主自由的憲政體制,讓人民可以安居樂業。"
DPP,news,L1-03,L2-04+L2-05+L2-07+L2-08,"〔記者陳昀/台北報導〕民進黨主席賴清德昨出席民進黨三十七週年黨慶創黨先進聯誼餐會時表示,他自一九九六年台海危機棄醫從政,至今中國併吞台灣的企圖仍未改變,他在歷史關鍵時刻擔任黨主席並參選總統,會向台灣社會展現民進黨守護台灣,促進民主、和平的決心一點都沒改變,為台灣負起歷史性責任,在民主道路上繼續壯大台灣。"
DPP,news,L1-04,L2-04+L2-07+L2-08,"他強調,李前總統立下許多標竿,自己會繼續秉持這項精神,為熱愛的國人開創民主和平、創新繁榮和公義永續的台灣。"
DPP,news,L1-06,L2-01+L2-04+L2-06+L2-08,"台灣北社社長張葉森致詞說,台灣雖歷經前總統李登輝、陳水扁的民主深化,卻被前總統馬英九的九二共識「壞了了」,總統蔡英文秉持維持台海現狀、發展高科技,讓台灣再度躍上國際,但轉型正義、司改、教改及青年就業問題仍有待解決。"
DPP,news,L1-07,L2-04+L2-07+L2-08,"立法院院長游錫堃說,大選要想辦法讓台灣能夠贏,他還吟唱出身於台中清水的政治運動者蔡惠如創作的古典詩《意難忘》,表達蔡惠如為台灣打拚、爭取民主自由的精神,獲得現場如雷掌聲。"
TPP,news,L1-03,L2-04+L2-07+L2-08,"未來會在總統蔡英文開闢的這條民主道路上,持續壯大台灣。"
DPP,news,L1-04,L2-04+L2-08,"雷震是台灣早期民主運動的代表人物之一,曾創辦《自由中國》雜誌,對蔣介石政府提出建言和批判,但遭蔣政府逮捕入獄,監禁長達10年。"
KMT,news,L1-02,L2-04+L2-08,"侯友宜提到香港發生「反送中」事件,民進黨喊出「抗中保台」支持香港的民主自由,但4年前香港浸會大學一名學生說,民進黨政府無視港人自由民主,只會在香港人流出鮮血時騙台灣人的選票。"
DPP,news,L1-06,L2-04+L2-06+L2-08,"賴清德說,1990年台灣自由廣場也發生「野百合學運」,時任總統李登輝接受學生要求,包括解散國民大會、廢除臨時條款、召開國是會議、公布政經改革時間表等,如今都逐漸兌現,讓台灣人民可享受民主自由,並贏得國際肯定。"
