camp,L1,l2,n,row_pct,col_pct,expected,lift,lift_lo,lift_hi,lift_sig,asr,n_L1,n_L2,N,L1_cn
ALL,L1-07,L2-06,302,0.07429274292742928,0.131993006993007,444.9892349648342,0.6786681031145976,0.599671450187344,0.7618990760256784,True,-8.003279944132125,4065,2288,20901,情感/情緒
ALL,L1-01,L2-07,616,0.4236588720770289,0.10323445617563265,415.1006171953495,1.4839775574462848,1.371192130381538,1.6063551403852776,True,12.093572085597398,1454,5967,20901,經濟
ALL,L1-02,L2-07,454,0.23377960865087538,0.07608513490866432,554.4191187024544,0.8188750796735288,0.7506230395071719,0.8833304134670839,True,-5.297470964237258,1942,5967,20901,道德
ALL,L1-03,L2-07,1377,0.3225579761068166,0.23076923076923078,1218.7513994545716,1.1298448564787287,1.071317572341747,1.1892753721951261,True,6.011586049696365,4269,5967,20901,衝突與安全
ALL,L1-04,L2-07,387,0.36235955056179775,0.06485671191553545,304.9019664130903,1.2692604267290322,1.1695737892077618,1.375592038848352,True,5.710017354388355,1068,5967,20901,人文關懷
ALL,L1-05,L2-07,167,0.5107033639143731,0.027987263281380927,93.35481555906416,1.7888739750585407,1.588212572399323,1.9906214978706882,True,9.088571236136984,327,5967,20901,社會正義、平等與公平
ALL,L1-06,L2-07,1931,0.24832818930041153,0.3236132059661471,2219.96038467059,0.8698353418079271,0.8355862701089022,0.9041775619304696,True,-9.155773286972508,7776,5967,20901,合法性與政府管理
ALL,L1-07,L2-07,1035,0.25461254612546125,0.17345399698340874,1160.5116980048801,0.8918479682534382,0.8420302895520507,0.9496083289046975,True,-4.8564506174856925,4065,5967,20901,情感/情緒
ALL,L1-01,L2-08,15,0.01031636863823934,0.011086474501108648,94.12286493469212,0.15936616475080595,0.09206417303393173,0.24718937840092917,True,-8.74266883823134,1454,1353,20901,經濟
ALL,L1-02,L2-08,108,0.055612770339855816,0.07982261640798226,125.71293239557916,0.8591001573343138,0.7092819387146957,1.016735527452246,False,-1.7151759301729586,1942,1353,20901,道德
ALL,L1-03,L2-08,558,0.13070976809557272,0.4124168514412417,276.3483565379647,2.0191905860795014,1.865240217699845,2.1723104419038877,True,19.639368027140844,4269,1353,20901,衝突與安全
ALL,L1-04,L2-08,70,0.06554307116104868,0.051736881005173686,69.13563944308885,1.0125023875366435,0.7777185395025012,1.2748445217717408,False,0.11034829894545592,1068,1353,20901,人文關懷
ALL,L1-05,L2-08,62,0.18960244648318042,0.04582409460458241,21.167934548586192,2.928958413854364,2.063078982278629,3.780110593037177,True,9.24950814537831,327,1353,20901,社會正義、平等與公平
ALL,L1-06,L2-08,421,0.05414094650205761,0.31116038433111604,503.3695995406918,0.8363635793344465,0.766749754568095,0.9148982005296722,True,-4.790597758749238,7776,1353,20901,合法性與政府管理
ALL,L1-07,L2-08,119,0.02927429274292743,0.08795269770879527,263.14267259939714,0.45222615862522264,0.3660290099292503,0.5434178357550917,True,-10.2374871843712,4065,1353,20901,情感/情緒
DPP,L1-01,L2-04,14,0.025878003696857672,0.056,19.793648470657104,0.7072975970425138,0.3684721012066939,1.1162512387024128,False,-1.382592989821761,541,250,6833,經濟
DPP,L1-02,L2-04,22,0.04263565891472868,0.088,18.87896970583931,1.1653178294573643,0.7034575623851059,1.6965150159221483,False,0.7611195794139466,516,250,6833,道德
DPP,L1-03,L2-04,96,0.06037735849056604,0.384,58.173569442411825,1.6502339622641509,1.3745999304554806,1.963710211055157,True,5.768223370209365,1590,250,6833,衝突與安全
DPP,L1-04,L2-04,18,0.03501945525291829,0.072,18.805795404653885,0.9571517509727626,0.48264376030846085,1.472808319791048,False,-0.19685853479510382,514,250,6833,人文關懷
DPP,L1-05,L2-04,18,0.16363636363636364,0.072,4.024586565198303,4.4725090909090905,2.469712982952764,6.34536414911816,True,7.155203096528278,110,250,6833,社會正義、平等與公平
DPP,L1-06,L2-04,64,0.027130139889783807,0.256,86.30908824820723,0.741520983467571,0.5697137421167671,0.9318811288568837,True,-3.023465799120393,2359,250,6833,合法性與政府管理
DPP,L1-07,L2-04,18,0.014962593516209476,0.072,44.014342163032346,0.4089576059850374,0.23382648987960286,0.6100009149767484,True,-4.401097970484915,1203,250,6833,情感/情緒
DPP,L1-01,L2-06,181,0.3345656192236599,0.1929637526652452,74.26576906190546,2.437192831722034,2.055882701740016,2.8039157953904676,True,13.89583161455674,541,938,6833,經濟
DPP,L1-02,L2-06,36,0.06976744186046512,0.03837953091684435,70.83389433630909,0.5082312689046462,0.35027128405217084,0.6886521643606874,True,-4.634421689726622,516,938,6833,道德
DPP,L1-03,L2-06,252,0.15849056603773584,0.26865671641791045,218.26723254792915,1.1545480146437623,1.019026130151866,1.3151038370316788,True,2.8063206277154555,1590,938,6833,衝突與安全
DPP,L1-04,L2-06,89,0.17315175097276264,0.09488272921108742,70.55934435826138,1.2613495889092614,1.0027340995981042,1.5554248499980026,True,2.45778804800533,514,938,6833,人文關懷
DPP,L1-05,L2-06,12,0.10909090909090909,0.01279317697228145,15.100248792624031,0.7946888931963558,0.3922722595542064,1.2882054122064595,False,-0.865949281101281,110,938,6833,社會正義、平等與公平
DPP,L1-06,L2-06,232,0.0983467571004663,0.24733475479744135,323.83169910727355,0.7164215258715205,0.6329785861945028,0.801986946913283,True,-6.7897606776599515,2359,938,6833,合法性與政府管理
DPP,L1-07,L2-06,136,0.11305070656691604,0.14498933901918976,165.14181179569735,0.8235346247033447,0.6641371382844705,0.9638199241113793,True,-2.689696917033467,1203,938,6833,情感/情緒
DPP,L1-01,L2-07,211,0.3900184842883549,0.10989583333333333,152.01522025464658,1.3880189078866296,1.2180250733468667,1.557639639082274,True,5.879496107714435,541,1920,6833,經濟
DPP,L1-02,L2-07,93,0.18023255813953487,0.0484375,144.9904873408459,0.6414213905038759,0.5242915978931408,0.7548428670299626,True,-5.295862903400425,516,1920,6833,道德
DPP,L1-03,L2-07,509,0.320125786163522,0.26510416666666664,446.7730133177228,1.1392809879454926,1.050510088808465,1.2337312750359606,True,3.9635415437556136,1590,1920,6833,衝突與安全
DPP,L1-04,L2-07,175,0.3404669260700389,0.09114583333333333,144.42850870774186,1.2116721384565499,1.0551015803719173,1.3735424936527316,True,3.119636707200767,514,1920,6833,人文關懷
DPP,L1-05,L2-07,47,0.42727272727272725,0.024479166666666666,30.908824820722963,1.5206013257575757,1.2016880598618989,1.877231711959309,True,3.44114520925102,110,1920,6833,社會正義、平等與公平
DPP,L1-06,L2-07,592,0.2509537939805002,0.30833333333333335,662.8537977462315,0.8931079553483114,0.83278647668063,0.9467586250308493,True,-4.010922842690555,2359,1920,6833,合法性與政府管理
DPP,L1-07,L2-07,293,0.24355777223607647,0.15260416666666668,338.0301478120884,0.8667865925464118,0.767805379234117,0.9684230967840046,True,-3.182068292622568,1203,1920,6833,情感/情緒
DPP,L1-01,L2-08,4,0.0073937153419593345,0.007736943907156673,40.9332650373189,0.0977200327497256,0.022214571999528313,0.2020626665477924,True,-6.257134809605542,541,517,6833,經濟
DPP,L1-02,L2-08,26,0.050387596899224806,0.05029013539651837,39.04170935167569,0.6659544479930427,0.3935005115919587,0.9238272131071964,True,-2.257901680850702,516,517,6833,道德
DPP,L1-03,L2-08,232,0.1459119496855346,0.44874274661508706,120.30294160690765,1.9284648978747734,1.722325769053721,2.1619460420306544,True,12.092164419181985,1590,517,6833,衝突與安全
DPP,L1-04,L2-08,38,0.07392996108949416,0.0735009671179884,38.89038489682424,0.9771052690996395,0.6867010102969932,1.29369258899286,False,-0.15442686193097044,514,517,6833,人文關懷
DPP,L1-05,L2-08,21,0.19090909090909092,0.04061895551257253,8.322845016830088,2.5231756637946194,1.3604090428433995,3.76885213920681,True,4.607811458905004,110,517,6833,社會正義、平等與公平
DPP,L1-06,L2-08,154,0.06528189910979229,0.2978723404255319,178.48719449729256,0.8628069953911232,0.7323005216653646,0.9888565290222354,True,-2.3560140136246397,2359,517,6833,合法性與政府管理
DPP,L1-07,L2-08,42,0.034912718204488775,0.08123791102514506,91.02165959315089,0.4614286334454,0.3207924750478122,0.6280220559605159,True,-5.887783032403039,1203,517,6833,情感/情緒
KMT,L1-01,L2-04,23,0.06764705882352941,0.10900473933649289,12.248591429059246,1.8777669361583496,1.1047899294426624,2.706752074269106,True,3.223855644599247,340,211,5857,經濟
KMT,L1-02,L2-04,34,0.05396825396825397,0.16113744075829384,22.6959194126686,1.498066651621154,0.9323201454729211,2.072505843457549,False,2.5582317914938475,630,211,5857,道德
KMT,L1-03,L2-04,73,0.06437389770723104,0.3459715639810427,40.85265494280348,1.7869095681102,1.4025674289800403,2.2111365194796857,True,5.704673369508553,1134,211,5857,衝突與安全
KMT,L1-04,L2-04,5,0.021367521367521368,0.023696682464454975,8.42991292470548,0.5931259367278324,0.13654058095528898,1.1616371093275728,False,-1.2279828338003962,234,211,5857,人文關懷
KMT,L1-05,L2-04,9,0.09375,0.04265402843601896,3.458425815263787,2.602340047393365,0.45672595162321195,5.062042044404239,False,3.0601997042321063,96,211,5857,社會正義、平等與公平
KMT,L1-06,L2-04,47,0.022148916116870875,0.22274881516587677,76.4456206248933,0.6148161217844205,0.4539369406227114,0.8025071928342238,True,-4.295402751525569,2122,211,5857,合法性與政府管理
KMT,L1-07,L2-04,20,0.015372790161414296,0.0947867298578199,46.86887485060611,0.42672242642371344,0.24474505423348997,0.6174705611158827,True,-4.532315625001911,1301,211,5857,情感/情緒
KMT,L1-01,L2-06,101,0.29705882352941176,0.17781690140845072,32.97251152467133,3.063157622203811,2.513512872753527,3.6533646571862817,True,12.845333126734532,340,568,5857,經濟
KMT,L1-02,L2-06,82,0.13015873015873017,0.1443661971830986,61.09612429571453,1.3421473284149341,1.0566801566049846,1.670891292574581,True,2.97908005763726,630,568,5857,道德
KMT,L1-03,L2-06,125,0.11022927689594356,0.22007042253521128,109.97302373228615,1.136642385175249,0.9465069483300353,1.3435878433556576,False,1.6792214961772784,1134,568,5857,衝突與安全
KMT,L1-04,L2-06,29,0.12393162393162394,0.051056338028169015,22.69284616697968,1.2779357770554953,0.6133454896993668,2.0369997909061612,False,1.4219795080724866,234,568,5857,人文關懷
KMT,L1-05,L2-06,17,0.17708333333333334,0.02992957746478873,9.309885606966024,1.8260159917840375,1.0120437336182044,2.71530652925081,True,2.6742384617082258,96,568,5857,社會正義、平等與公平
KMT,L1-06,L2-06,125,0.0589066918001885,0.22007042253521128,205.78726310397815,0.6074234047072254,0.5069014558540399,0.7172484095223132,True,-7.421245306191114,2122,568,5857,合法性與政府管理
KMT,L1-07,L2-06,89,0.06840891621829362,0.15669014084507044,126.16834556940414,0.7054067293847636,0.5465517115902965,0.8734857178528335,True,-3.9481587704840537,1301,568,5857,情感/情緒
KMT,L1-01,L2-07,172,0.5058823529411764,0.09728506787330317,102.63274714017415,1.6758783603939313,1.4408538437879523,1.9241720907382776,True,8.443581418227494,340,1768,5857,經濟
KMT,L1-02,L2-07,174,0.2761904761904762,0.09841628959276018,190.1724432303227,0.9149590605472958,0.7939879385057648,1.0513071326822683,False,-1.485738101730292,630,1768,5857,道德
KMT,L1-03,L2-07,403,0.35537918871252205,0.22794117647058823,342.3103978145808,1.177294065774458,1.0492402454689782,1.303281748782319,True,4.37181666363739,1134,1768,5857,衝突與安全
KMT,L1-04,L2-07,103,0.44017094017094016,0.0582579185520362,70.63547891411986,1.458190722048188,1.227690282357088,1.6732033273887505,True,4.703708123670882,234,1768,5857,人文關懷
KMT,L1-05,L2-07,56,0.5833333333333334,0.03167420814479638,28.97865801604917,1.932456636500754,1.5378683075325645,2.3044369157603253,True,6.057389637371797,96,1768,5857,社會正義、平等與公平
KMT,L1-06,L2-07,536,0.2525918944392083,0.3031674208144796,640.5490865630869,0.8367820846891646,0.7700531649191241,0.8975571904082541,True,-6.191065522422105,2122,1768,5857,合法性與政府管理
KMT,L1-07,L2-07,324,0.2490392006149116,0.1832579185520362,392.7211883216664,0.8250127816750776,0.731916642364702,0.9149564495662688,True,-4.705689909568316,1301,1768,5857,情感/情緒
KMT,L1-01,L2-08,3,0.008823529411764706,0.009900990099009901,17.58920949291446,0.1705591147350029,0.0,0.3820577710446882,True,-3.6806912957345697,340,303,5857,經濟
KMT,L1-02,L2-08,33,0.05238095238095238,0.10891089108910891,32.59177053098856,1.0125255382681124,0.6777670136064056,1.363385342251416,False,0.07773138597758104,630,303,5857,道德
KMT,L1-03,L2-08,119,0.10493827160493827,0.3927392739273927,58.66518695577941,2.0284602534327507,1.7222852451411153,2.3669539294091764,True,9.008262964015413,1134,303,5857,衝突與安全
KMT,L1-04,L2-08,10,0.042735042735042736,0.033003300330033,12.105514768652894,0.8260697864658261,0.34329910650119416,1.379837424257646,False,-0.634241865187463,234,303,5857,人文關懷
KMT,L1-05,L2-08,15,0.15625,0.04950495049504951,4.966365033293495,3.0203176567656764,1.2513436232660367,4.827166752215707,True,4.661893274030791,96,303,5857,社會正義、平等與公平
KMT,L1-06,L2-08,98,0.046182846371347785,0.3234323432343234,109.77736042342497,0.8927159445445015,0.7529845381014347,1.053536192718901,False,-1.4455015351261222,2122,303,5857,合法性與政府管理
KMT,L1-07,L2-08,25,0.01921598770176787,0.08250825082508251,67.30459279494622,0.3714456764661862,0.24358875013594192,0.5163461802865046,True,-6.004067929679279,1301,303,5857,情感/情緒
TPP,L1-01,L2-04,13,0.02268760907504363,0.04609929078014184,19.679210814760687,0.6605955961531321,0.328116682294145,1.0006529525385235,False,-1.5886137907875462,573,282,8211,經濟
TPP,L1-02,L2-04,48,0.06030150753768844,0.1702127659574468,27.337961271465108,1.755800277985673,1.2605393017354982,2.2552527489214085,True,4.231763368004094,796,282,8211,道德
TPP,L1-03,L2-04,91,0.05889967637540453,0.32269503546099293,53.061746437705516,1.7149831302072573,1.3774293976164216,2.111101230739593,True,5.882213091693377,1545,282,8211,衝突與安全
TPP,L1-04,L2-04,11,0.034375,0.03900709219858156,10.990135184508587,1.0008976063829786,0.4103535492995476,1.7142957403982968,False,0.003088931453718542,320,282,8211,人文關懷
TPP,L1-05,L2-04,17,0.14049586776859505,0.06028368794326241,4.155644866642309,4.090821171091964,1.969289010808958,6.341695930235165,True,6.459600716066696,121,282,8211,社會正義、平等與公平
TPP,L1-06,L2-04,71,0.021547799696509863,0.25177304964539005,113.16404822798685,0.627407742227101,0.4940359534555042,0.7629937982535585,True,-5.212774881831438,3295,282,8211,合法性與政府管理
TPP,L1-07,L2-04,31,0.01985906470211403,0.1099290780141844,53.611253196930946,0.5782368094647458,0.3873020298365963,0.7914443896424586,True,-3.4919874491402116,1561,282,8211,情感/情緒
TPP,L1-01,L2-06,181,0.3158813263525305,0.23145780051150894,54.57142857142857,3.316753926701571,2.8676150933133755,3.818335774790554,True,18.655359182052464,573,782,8211,經濟
TPP,L1-02,L2-06,77,0.09673366834170855,0.09846547314578005,75.80952380952381,1.0157035175879396,0.7557811113160284,1.2772732503861297,False,0.151263492967326,796,782,8211,道德
TPP,L1-03,L2-06,197,0.12750809061488674,0.25191815856777494,147.14285714285714,1.3388349514563107,1.1479932762479705,1.5505679740774039,True,4.795744229410161,1545,782,8211,衝突與安全
TPP,L1-04,L2-06,48,0.15,0.061381074168797956,30.476190476190474,1.575,1.1631865866676427,2.0561820462781175,True,3.404184073865398,320,782,8211,人文關懷
TPP,L1-05,L2-06,15,0.12396694214876033,0.01918158567774936,11.523809523809524,1.3016528925619835,0.6594962996004663,1.9449845963555932,False,1.084581374204967,121,782,8211,社會正義、平等與公平
TPP,L1-06,L2-06,187,0.05675265553869499,0.2391304347826087,313.8095238095238,0.5959028831562975,0.5098292825036607,0.6821866308570372,True,-9.726212359921695,3295,782,8211,合法性與政府管理
TPP,L1-07,L2-06,77,0.04932735426008968,0.09846547314578005,148.66666666666666,0.5179372197309418,0.4071448073289291,0.6376912453347885,True,-6.866421407200175,1561,782,8211,情感/情緒
TPP,L1-01,L2-07,233,0.40663176265270506,0.10223782360684511,159.03872853489221,1.4650519539891889,1.2834075608120634,1.6425769541887925,True,7.154158783712865,573,2279,8211,經濟
TPP,L1-02,L2-07,187,0.23492462311557788,0.08205353225098727,220.93338204847157,0.8464089865739404,0.7333650847149062,0.9596993323655182,True,-2.826417931023427,796,2279,8211,道德
TPP,L1-03,L2-07,465,0.30097087378640774,0.20403685827117157,428.8217025940811,1.0843667593945565,0.9934898667275032,1.1738310099683136,False,2.2812483751522863,1545,2279,8211,衝突與安全
TPP,L1-04,L2-07,109,0.340625,0.04782799473453269,88.81744001948606,1.2272364523913997,1.0198617764802391,1.4226529318925458,True,2.570138843982341,320,2279,8211,人文關懷
TPP,L1-05,L2-07,64,0.5289256198347108,0.028082492321193506,33.584094507368164,1.9056640037133874,1.5535710935194058,2.2241202451218696,True,6.2209276224173555,121,2279,8211,社會正義、平等與公平
TPP,L1-06,L2-07,803,0.24370257966616085,0.3523475208424748,914.5420777006455,0.8780350511798363,0.8222578644474013,0.9288939586431897,True,-5.608237896180428,3295,2279,8211,合法性與政府管理
TPP,L1-07,L2-07,418,0.267777065983344,0.1834137779727951,433.2625745950554,0.964772921803088,0.8831416575792469,1.0488437232125465,False,-0.9585987752772867,1561,2279,8211,情感/情緒
TPP,L1-01,L2-08,8,0.013961605584642234,0.0150093808630394,37.195104128607966,0.2150820702729782,0.08095843379878646,0.37100287278932514,True,-5.132740529608359,573,533,8211,經濟
TPP,L1-02,L2-08,49,0.06155778894472362,0.09193245778611632,51.67068566557057,0.948313330253519,0.7039883632888265,1.2269302701930553,False,-0.4043124210369116,796,533,8211,道德
TPP,L1-03,L2-08,207,0.13398058252427184,0.3883677298311445,100.29046401169164,2.064004808830762,1.8167352385820228,2.3502397904483745,True,12.229614139521454,1545,533,8211,衝突與安全
TPP,L1-04,L2-08,22,0.06875,0.04127579737335835,20.772134940932894,1.059111163227017,0.5842748384969833,1.5488171206482007,False,0.28419474939535894,320,533,8211,人文關懷
TPP,L1-05,L2-08,26,0.21487603305785125,0.04878048780487805,7.854463524540251,3.3102197137673857,2.0916265611342877,4.722559539909554,True,6.745424513069601,121,533,8211,社會正義、平等與公平
TPP,L1-06,L2-08,169,0.05128983308042489,0.3170731707317073,213.88807696991842,0.7901328694622303,0.6773719974189298,0.8945731006559665,True,-4.102076672822909,3295,533,8211,合法性與政府管理
TPP,L1-07,L2-08,52,0.033311979500320305,0.0975609756097561,101.32907075873828,0.5131794815706004,0.37194106399526483,0.6575575427134285,True,-5.631149793173039,1561,533,8211,情感/情緒
