camp,genre,L1,l2s,sent_text
KMT,news,L1-02,L2-06+L2-07+L2-08,"侯友宜說,他要恭喜賴清德與蕭美琴當選,也期許他們不要辜負台灣人民期待,執政者要把人民放在心裡,聽進人民聲音,打造清廉、有效率政府,成為讓人民信任的政府。"
DPP,news,L1-06,L2-02+L2-04+L2-07+L2-08,"至於兩岸外交問題,賴清德表示,常常會有些人講說,中美之間如何選擇,他認為這應該是民主、專制間選擇,這個才是根本,台灣從專制獨裁的黑暗時代走到今天自由民主,知道黑暗的痛苦,也嘗到民主的幸福,要在民主的道路上繼續走,不能走回頭路。"
DPP,news,L1-03,L2-01+L2-04+L2-05+L2-07+L2-08,"賴清德指出,民主自由從來不是當權者賞賜,而是走上街頭向當權者抗議、向獨裁者抗爭,民主是人民作主,不爭取就不可能作主,和平也一樣,國民黨過去專制獨裁不可能自動賞賜台灣人民民主自由,共產黨也不可能自動放棄台灣的主權,把和平賞賜給台灣,過去大家為民主打拚,未來為和平奮鬥,民主靠爭取,和平靠力量,團結一定會成功。"
DPP,news,L1-03,L2-01+L2-02+L2-07+L2-08,"陳玉珍做為一個台灣民選的代議士到了中國,應將中華民國基本價值和立場向中國政府來表達。"
TPP,news,L1-07,L2-07+L2-08,"蔡總統細數長照、婚姻平權、年改等政績,她說,明年1月13日 台灣人民要再次做出選擇,與8年前一樣,她依然相信民主、相信人民、相信台灣,她也相信賴清德。"
TPP,news,L1-06,L2-07+L2-08,"1120716 (中央社記者葉素萍、王揚宇台北16日電)民進黨全代會今天在台北圓山飯店登場,民進黨主席、總統參選人賴清德說,關鍵時刻大家團結一致相挺台灣,明年總統與立委大選,攸關台灣未來前途、民主延續,感謝民進黨提名,他會竭盡所能,完成期待。"
KMT,news,L1-06,L2-07+L2-08,"侯友宜自信表示,投給「侯趙配」代表了我國第三波的民主革命,這一票涉及國家安全、社會安全、公平正義和未來經濟發展,兩岸只有和平才能創造安居樂業的環境,以及清明、廉能、有效率的政府,「侯趙配」是在野陣營最強的組合,只有集中選票投給藍營,才能實現政黨輪替、民主制衡。"
TPP,news,L1-06,L2-07+L2-08,"黃國昌表示,許多民眾自發性提供影像,民視、三立等媒體播出政見發表會時,唯獨柯文哲發言過程被進廣告,新聞媒體公平對待每位候選人應是民主法治社會最基本原則,而這個原則要被執行,有賴於中選會及國家通訊傳播委員會(NCC)。"
TPP,news,L1-03,L2-01+L2-04+L2-05+L2-06+L2-07+L2-08,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。"
TPP,news,L1-06,L2-07+L2-08,"第2個保證是「民主治理」,賴清德強調,他會組成用人唯才、不分黨派,且最能夠因應挑戰、開放包容的新政府,亦會汲取在野黨意見,團結民意,壯大台灣;"
TPP,news,L1-02,L2-07+L2-08,吳欣盈:不應用錢衡量愛國心 小笠原欣幸分析綠藍白副手加分點 蕭美琴趙少康吳欣盈各有微妙影響 總統選舉首場政見發表會 侯友宜賴清德柯文哲發言一覽 賴清德政見會拆解老家爭議 左右開攻反擊侯柯 侯友宜政見會猛攻賴清德 國台語夾雜手板助陣 柯文哲收斂攻勢 聚焦三大主題談政見 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 吳東進:新壽立足台灣逾60年 是很不錯公司 撕掉公主標籤走入基層 吳欣盈體驗大選嘉年華氣氛 丹麥政治報關注大選:台灣人民對民主有堅定信念 賴清德:不因國會沒過半而失志 盼監督更有效率 2024/01/12 10:17 2023/12/26 09:59 2023/12/26 08:57 2023/12/22 09:54 2023/12/20 09:52 2023/12/18 17:29
DPP,news,L1-06,L2-01+L2-02+L2-07+L2-08,"對比中國提出「2030中國製造」、「2035中國標準」,台灣是民主國家,有選舉等政治週期表,明年台灣不只要選出新的總統,台灣也要選出國家總路線。"
DPP,news,L1-06,L2-07+L2-08,"賴清德呼籲,站在歷史的關鍵時刻,要繼續堅持理想與價值,讓台灣永續發展,要有完整的民主力量,民進黨的總統要當選、立委要過半,懇請台中的鄉親支持。"
DPP,news,L1-03,L2-05+L2-07+L2-08,"賴清德表示,已有許多國際媒體大篇幅報導中國在這次選舉中介入的嚴重程度,這幾天假訊息與認知作戰鋪天蓋地而來,盼民眾注意不要受到影響,他也在前天開記者會向國際社會說明,會與國會力量結合,守護台灣促進民主和平繁榮發展。"
TPP,news,L1-03,L2-05+L2-07+L2-08,"針對外界關心中國是否會有進一步介選動作,沈伯洋表示,區域立委的選區常常差距在萬票之內,因此對中國而言,只要能在任何選區影響3000票至5000票間,就可以逆轉區域的選戰,呼籲民眾不論選情如何,一定要踴躍出門投票。"
DPP,news,L1-03,L2-01+L2-04+L2-06+L2-07+L2-08,"他指出,台灣可以跟美國講,未來整個全世界的和平穩定、民主自由的拓展或是經濟繁榮發展,台灣是可以有貢獻的,台灣已從過去接受美援,變成可幫助別人;"
KMT,news,L1-07,L2-05+L2-07+L2-08,"侯友宜:我百分百會贏 請集中選票讓政黨輪替 2024/1/4 21:41 (1/4 22:01 更新) (中央社記者劉冠廷、吳昇鴻台北4日電)國民黨總統候選人侯友宜接受專訪時表示,他有百分之百的信心會贏,這次選舉是戰爭對和平、貪腐對清廉、獨裁對民主,反對民進黨繼續一黨獨大,就請集中選票支持在野最強的侯康配,讓政黨輪替,民主制衡。"
TPP,news,L1-03,L2-01+L2-05+L2-07+L2-08,"他永遠歡迎與對岸共同推展和平的機會,但在北京未放棄武力企圖之前,會持續提升國防能量,以及與民主夥伴並肩嚇阻來自對岸的各項挑戰,他有決心捍衛國家利益,也有維持區域穩定的責任。"
TPP,news,L1-05,L2-07+L2-08,"台灣陪審團協會等團體2日向監察院陳情,要求廢除違法設立,侵害人民人身自由的偵查庭。"
KMT,news,L1-06,L2-07+L2-08,"第二點,家屬說,懇請政府重新審視少事法年齡及相關配套措施並集思廣益,不要僅限一小群人或少數民代就決定,並快速進行修法。"
DPP,news,L1-07,L2-06+L2-07+L2-08,"台南子弟、不分區立委候選人王義川上台,現場歡呼聲不斷,王義川說:「我回來了,台南人沒有在漏氣」,台灣人選擇與民主陣營站在一起,賴清德在台南的票數一定要開出全國最高票。"
TPP,news,L1-03,L2-05+L2-07+L2-08,"(10/21 13:51 更新) (中央社記者陳昱婷台北21日電)台灣民眾黨主席柯文哲今天表示,維護台灣的民主自由是底線,對中國要嚇阻與溝通兼顧,具備足夠國防能力,同時避免擦槍走火,千萬不要認為台灣一定不會發生戰爭。"
KMT,news,L1-03,L2-01+L2-07+L2-08,"侯友宜強調,美國一直是堅定盟友,民主自由是雙方的共同價值,尤其在貿易經濟、科技產業、人才交流等面向上,更有深刻密切的互動,作為美國的長期夥伴,台灣必須為區域的和平穩定,負起責任,維護彼此的共同價值,建立一個穩健務實,且可預期的合作關係。"
TPP,news,L1-06,L2-01+L2-07+L2-08,"關於合作原則與理念,是以「把國家還給人民」以及「讓台灣成為正常國家」為共同目標,並使人民可以信任政府、司法可以實現公義、媒體可以專業自主、權力必須監督制衡。"
DPP,news,L1-02,L2-07+L2-08,"更強調,走訪基層聽到不少質疑現任立委「是黨意代表, 不是民意代表」等聲音,他會努力替大里太平帶來改變,籲「青年上場、立委換興」。"
DPP,news,L1-03,L2-01+L2-05+L2-07+L2-08,"面對中國的文攻武嚇,賴清德強調,要提升國家的民防、國安力量,未來除了繼續支持蔡總統的政策,長遠來說提升國防力量,也能提升產業力,也要和民主陣營站在一起,發揮團隊力量,讓中國不會輕舉妄動。"
KMT,news,L1-03,L2-01+L2-06+L2-07+L2-08,"(10/21 22:51 更新) (中央社記者葉臻桃園21日電)民進黨主席暨總統參選人賴清德今天到桃園替立委參選人站台,他表示,現在的選舉是民主、光明的,國內的經濟力一年比一年好,大家應該團結打拚,不能輕易放棄主權。"
TPP,news,L1-06,L2-07+L2-08,"信賴台灣就是選擇民主、共同打拚,走入國際社會迎向未來。"
DPP,debate,L1-06,L2-07+L2-08,"我会团结国人,强化国防,强化经济,强化跟民主阵营肩并肩站在一起。"
KMT,debate,L1-02,L2-04+L2-06+L2-07+L2-08,"赖主席, 你要靠一个腐败新条路还继续在国安吗侯友宜, 当年总统一定建构一个青年的团队一个共治的政府不像民进党独裁。"
