camp,genre,L1,l2s,sent_text
TPP,news,L1-06,L2-04,"2012年總統大選民進黨推派蔡英文迎戰競選連任的馬英九,雖然落敗,但把藍綠兩黨得票率差距縮小到5.9個百分點。"
KMT,news,L1-07,L2-04,"國民黨正副總統參選人侯友宜、趙少康今舉行回顧「台灣首次思覺失調患者挾持公車事件」記者會,說明25年前2人認識的往事,人生有時講求緣分,25年後趙少康再度臨危受命並肩作戰,「現在的狀況跟當年解救人質危機的狀況一模一樣」,讓人民更安全。"
TPP,news,L1-03,L2-04,"賴清德說,「當然有可能」,九二共識已被中國國家主席習近平定義為「一國兩制」,九二共識在1992年會談時,也沒有真正的共識;"
TPP,news,L1-05,L2-04+L2-07+L2-08,"為針對現行司法制度為威權體制的殘留,與現代民主社會主權在民的原則不符,不希望司法改革總是淪爲口號,曹興誠及聯盟代表林佳和教授、籌備處代表陳為祥等具改革意識的人士,共同發起籌組台灣公民人權聯盟(TCLU),希望運用現代管理概念和原理,效法美國ACLU,推動司法改革。"
KMT,news,L1-01,L2-04+L2-06,"他說,前總統馬英九發明22K薪水補助,最後直接讓年輕人起薪變22K;"
TPP,news,L1-03,L2-02+L2-04,"呂秀蓮說,要跟1949年來台的外省同胞講,能充分體諒馬前總統要回歸祖國的心懷,但2350萬人有許多人祖先是莫名其妙因馬關條約離開中國的,情感上,請不要開口閉口就說是國家領土完整,不要把台灣問題當成國共內戰的延長,不要因為國民黨逃來台灣,就想藉國民黨把台灣吸回去。"
KMT,news,L1-03,L2-02+L2-04+L2-07+L2-08,"他說,他提出國家希望工程,將打造民主和平的台灣,不會跟國民黨一樣走回頭路,甘願淪為極權主義的附庸,會團結人民,強化國防、強化經濟,強化跟民主陣營肩並肩站在一起,只要對等、尊嚴,門永遠是開的,願意跟中國進行交流合作,促進兩岸人民的福祉,他會不卑不亢維持現狀,保護台灣,同時穩定兩岸,也促進印太的和平。"
TPP,news,L1-07,L2-04,"面對強敵,民進黨派出年輕女將爭取「二次變天、世代交替」,謝子涵曾任民進黨發言人、青年部副主任,形象清新、口條佳,空戰上可創造議題,加上年輕衝勁有爆發力,民進黨期待她成為「洪慈庸二.○」。"
DPP,news,L1-02,L2-04,"鄭運鵬說,呂美玲幫大家說明了中國國民黨的中心思想三段論,首先是否定現狀,「政府幾十年來佔領我們土地,我們現在很落後。」鄭運鵬補充,當時佔領基隆土地的是國民黨政府,很多還變成黨產。"
TPP,news,L1-03,L2-04+L2-06+L2-08,"柯文哲表示,第二階段是1996到2016年,1996年台灣首次總統直選,從那時起就建立台灣主體性,且每次投票台灣主體性就愈來愈強。"
KMT,news,L1-02,L2-04,"〔記者謝君臨/台北報導〕台北市長蔣萬安今主持台北市二二八事件76週年紀念會,並於致詞時,以台北市長身份致歉。"
KMT,news,L1-05,L2-04+L2-07,"第二,蔣市長可以立刻將台北市的各種中正廳、中正路改名,誠懇反省當年二二八事件中,寧可錯殺千人,也不願放過一人的兇殘。"
KMT,news,L1-02,L2-04+L2-07,"柯文哲說,民進黨執政快要8年了,只有民進黨不想通過的法律,沒有民進黨不能通過的法律,當時太陽花學運結論是要通過兩岸協議監督條例。"
KMT,news,L1-03,L2-02+L2-04+L2-07,"明年是黃埔軍校建校一百週年,數個退伍軍官社團此前傳出,將號召500名黃埔軍校校友赴中國大陸參加黃埔軍校99週年活動,引發兩岸黃埔「正統」話語權之爭;"
TPP,news,L1-06,L2-04+L2-06+L2-07,"(記者張嘉明攝) 前行政院長蘇貞昌致詞時說農民運動時他就在現場,現在農業部終於在蔡總統領導下成立,也呼應當年訴求,也進一步全面照顧農漁民並改革體制。"
KMT,news,L1-01,L2-04+L2-06+L2-07,"最缺電是前總統馬英九把政權交給總統蔡英文時,未來供電會更穩定,缺電時代已過去。"
DPP,news,L1-05,L2-04,"前行政院長蘇貞昌今(27)日在臉書表示,明天將參加同志大遊行,臉書並附上當時國民黨「反同」的圖卡。"
DPP,news,L1-06,L2-04,"王宏恩舉例,1991年底第二屆國大選舉中,因為拒絕刪除候選人的台獨政見,有6位地方選委會主委(由市長兼任,台北縣尤清、宜蘭縣游錫堃、高雄縣余陳月瑛、屏東縣蘇貞昌、嘉義市張文英、彰化縣周清玉等6人)辭職抗議,而彰化縣及高雄縣更是先印出有台獨政見的選舉公報後送出,台灣省選委會再緊急全面收回查,6位官員更在選後被懲處。"
DPP,news,L1-04,L2-04,"史明的故居「新珍味」是位於東京池袋西口的街角的一家中式餐館,於1955年開業,史明經營新珍味不但為了生計,也攢下大筆的建國資金,這裡也是他撰寫「台灣人四百年史」的地方,過往更是台獨運動者聚集的建國基地,現今仍吸引很多台灣有志之士來朝聖。"
TPP,debate,L1-06,L2-04,柯文哲: 当时太阳花学院 民进党跟场外的那些学生答应的是什么 要通过两岸协议监督条例 在这个通过以后才开始规范 货贸才服贸。
