camp,genre,L1,l2s,sent_text
DPP,news,L1-03,L2-05+L2-06+L2-07+L2-08,"賴清德也重申近日提及中國如果攻打台灣,不但台灣受到傷害,中國也因此辜負幾10年台商對中國經濟發展的貢獻,造成世界重大災難,包括中國本身都要承受、也難以承受得起,認為全世界應該看到台灣良善的力量,台灣希望在民主世界成為MVP,呼籲大家共同挺台灣、成為台灣隊,此番話也獲得現場與會者熱烈掌聲。"
KMT,news,L1-02,L2-05+L2-06+L2-07+L2-08,"透過 Google News 談及中共介選,侯友宜說,他反對境外介入選舉,有的話就查清楚,民進黨選舉選到沒招數,讓他與趙少康聯手,終結詐騙、貪腐、廢死、台獨引戰以及失能的民進黨,找回平安、清廉、有人權、可以保護受害者的台灣。"
TPP,news,L1-01,L2-06+L2-07+L2-08,"彭俊豪表示,選對人很重要,看看桃園的亞矽創新研發中心遭桃園市府喊停,原本要來桃園設廠的台積電也取消,他拜託現場的青商朋友,一起努力發揮最大的影響力,讓國家走在正確的方向,3張選票顧台灣。"
DPP,news,L1-01,L2-06+L2-07,"但是內政問題,如低薪高房價仍是青年面臨的困境,政治與黑金及財團密不可分,一個台灣仿佛被分裂成兩種世界,因此時力今天回到8年前起家的地方,從街頭運動、街頭宣講開始,在投票日前舉辦百場街講,盼回應台灣當前困境以及公共政策討論。"
DPP,news,L1-02,L2-06+L2-07,"孫湯玉惠指出,縣長還特別承諾會在選後,積極努力把原民處成立,可是施政報告隻字未提,她很難過,我們原住民一直都很相信縣長說的話,對縣長的誠信一直放在心裡,所有原民在縣長要連任時,也極力去催票輔選,希望連任後對原民所說的話要說到做到。"
KMT,news,L1-01,L2-04+L2-06+L2-07,"2016年蔡英文批評馬政府對不起年輕人,但是8年過去,年輕人依舊為了低薪、通膨、高房價而困擾,依舊看不見未來。"
TPP,news,L1-02,L2-06+L2-07,"幾十年來,主管機關放任這樣沒有法律依據且違反憲法諸多原則的偵查庭繼續存在,就是重大的瀆職疏失。"
KMT,news,L1-02,L2-01+L2-06+L2-07,"柯文哲還說,第4,他從政清廉打拚、不會貪污,用科學精神做事,台北市長8年任內,每天都是清晨7點半到市府上班,起初有公務員不相信他能做得到,以他的做事、用人方法標準,能讓台灣政府更有效能、清廉,內政更進步,打造台灣成為一個正常國家。"
KMT,news,L1-03,L2-01+L2-05+L2-06+L2-07,"賴清德表示,總統蔡英文上任後,國內的經濟力一年比一年好,大家應該團結,不能輕易放棄主權。"
KMT,news,L1-05,L2-06+L2-07+L2-08,"第二,尊重多元、關心弱勢、建立公義社會是台灣最美的價值,政治不是為少數人服務,是為多數一般人民服務,政治的方向不能走偏,要走穩、走對。"
DPP,news,L1-01,L2-06+L2-07,"打造健康台灣,屆時會產生很多健康產業、生物科技產業等,也有機會成為護國神山,讓國際社會擁抱台灣。"
KMT,news,L1-07,L2-06+L2-07+L2-08,"國民黨今晚造勢活動安排許多亮點,包括參與民眾一起寫下心願或不滿,集結成為一顆聖誕樹,還安排通常會在體育賽事等大型公共活動出現的「kiss cam」,與台下群眾互動,當「侯趙配」進場後,現場還有排字活動,由群眾排出巨大的2024與國旗圖樣,大家一起高喊「民主要制衡,政黨要輪替」口號,晚會結束前還一起大合唱台語歌曲「堅持」。"
DPP,debate,L1-04,L2-06+L2-07,"三年疫情已经过去,我认为防疫人员、医疗人员肩上都值得佩戴一枚勋章,我们对未来的健康台湾有信心。"
