id,candidate,party,source_type,date,sentence,L1_label,L1_reasoning,L2_labels,L2_reasoning,spans,content_frames,style_markers,ideological_phrases,confidence,uncertain_boundary,error
_3ff13f492fcd_u003,赖清德,DPP,news,2023-09-07 18:59:11,"台灣基進黨主席王興煥說,中華民國殖民屠殺遍及全台,所有犧牲的英靈憤怒匯聚於元凶的紀念堂,舉辦普渡是為「祭台灣英靈,祓中國邪氣」,拒絕遺忘土地的傷痕與台灣人的苦難,因為時間是歷史記憶與轉型正義最大的敵人,而中正紀念堂空間轉型與「把蔣介石塑像先行移除」可以並行,不能用前者拖延後者。",L1-05,文本核心在批判歷史不公與殖民屠殺，強調轉型正義以矯正過去權力不對等造成的傷害，符合社會正義框架。,L2-05|L2-06|L2-08|L2-10,L2-05體現在重新詮釋中華民國歷史為殖民屠殺；L2-06透過召喚土地傷痕與苦難記憶動員認同；L2-08將中國與蔣介石設為共同敵人；L2-10動員對歷史的憤怒情感。,"中華民國殖民屠殺遍及全台|祭台灣英靈,祓中國邪氣|拒絕遺忘土地的傷痕與台灣人的苦難",歷史殖民論述|轉型正義訴求|敵我二元對立,強烈指控性修辭|儀式化動員語言|道德批判語氣,"殖民屠殺|轉型正義|祭台灣英靈,祓中國邪氣",high,,
_da0b9fcfbbe7_u004,柯文哲,TPP,news,2024-01-08 21:15:00,"黃建賓表示,自被徵召後,便一步一腳印走遍全台東,也用超過50場的社區開講、廟口開講向鄉親闡述政見,感受到支持者們對過去12年台東這席立委的期待,呼籲支持者一定要出門投票,堅定支持黃建賓。",L1-09,文本核心聚焦於選舉動員與投票呼籲，強調支持者對立委席次的期待及投票行動對政治後果的影響,L2-14,直接呼籲支持者出門投票並堅定支持特定候選人，體現明確的團結號召,呼籲支持者一定要出門投票|堅定支持黃建賓,選舉動員|政見闡述|地方深耕,呼籲式語言|在地化敘事,一步一腳印|堅定支持,high,,
_a8086c654a13_u008,柯文哲,TPP,news,2023-02-25 16:49:00,"民進黨發言人兼國際事務部主任謝佩芬指出,許多人未曾去過烏克蘭,但過去一年來,都深刻感受台烏是心靈相通的,英文有句諺語說「和平靠實力」,烏克蘭帶來的啟示是,「只要有保家衛國決心,全世界都會跟你站在一起」。",L1-03,文本核心論述烏克蘭抵抗經驗對台灣的啟示，強調保家衛國決心與安全威脅下的國際支持，屬於衝突與安全框架,L2-07|L2-08|L2-14,L2-07建構共同安全危機，L2-08設定共同敵人，L2-14號召團結保衛家園,"台烏是心靈相通的|和平靠實力|只要有保家衛國決心,全世界都會跟你站在一起",安全威脅認知|國際支持論述|抵抗決心強調,啟示性話語|諺語引用|情感共鳴建構,保家衛國決心|和平靠實力,high,,
_d412b509d425_u014,柯文哲,TPP,news,2023-08-29 19:46:00,"他表示,上海跟台北很像,並用一句話表達感受:「對上海,我很有fu。」 透過 Google News 龔正致贈蔣萬安的禮品是瓷器「玉蘭花開」,底影設計勾勒出上海浦江兩岸的建築群和上海市花白玉蘭,前者象徵歷史和現代的融合,白玉蘭代表上海人民歡迎台北來的貴賓,象徵兩市人民的情感。",L1-04,文本聚焦城市文化交流與情感連結，強調兩市人民的友好情感與生活體驗,L2-10|L2-11,L2-10體現在透過禮品象徵激發共同情感，L2-11體現在對城市文化特色的讚美與自豪,"對上海,我很有fu|白玉蘭代表上海人民歡迎台北來的貴賓,象徵兩市人民的情感|前者象徵歷史和現代的融合",城市文化交流|情感連結象徵|歷史現代融合,情感化表達|象徵性修辭|友好語氣,很有fu|玉蘭花開|兩市人民的情感,medium,文本主要為友好交流描述，國家認同建構意圖較弱,
_03132b056527_u005,柯文哲,TPP,news,2024-01-01 20:53:00,"賴清德指出,自己和總統蔡英文已連續4年參加總統府前舉辦的升旗典禮,感受到政府責任重大,政府有責任讓各行各業繁榮興盛,讓人人平安好過日。",L1-08,文本核心在描述政府責任與政策目標的設定，屬於政策制定與評估範疇,L2-12|L2-13,L2-12體現在強調政府責任重大，L2-13體現在描繪讓各行各業繁榮興盛的共同願景,"政府責任重大|政府有責任讓各行各業繁榮興盛,讓人人平安好過日",政府責任論述|經濟社會發展目標,權威性表述|願景導向,政府責任重大|繁榮興盛|平安好過日,medium,L1邊界較模糊，可歸L1-08或L1-04，但以政策責任論述為主,
_ff4754bd104f_u009,赖清德,DPP,news,2023-12-10 21:55:43,"副總統賴清德也表示,此次修復計畫全世界有2000多位朋友參與關心,透過紀念館可以感受史明歐吉桑的意志,以及爭取台灣的民主、自主,希望和世界平起平坐的信念。",L1-08,文本核心在描述修復計畫作為政策工具，旨在傳遞特定政治信念與價值觀,L2-01|L2-05|L2-15,L2-01體現在將台灣預設為自主主體；L2-05體現在對史明歷史意義的重新詮釋；L2-15體現在強調民主價值作為身份邊界,爭取台灣的民主、自主|希望和世界平起平坐的信念|感受史明歐吉桑的意志,歷史人物精神傳承|民主自主訴求|國際平等地位,價值觀導向表述|精神意志強調,爭取台灣的民主、自主|和世界平起平坐,high,,
_0cfde4fc3e4a_u001,侯友宜,KMT,news,2023-02-08 17:29:55,"(記者廖雪茹攝) 2023/02/08 17:29 〔記者廖雪茹/新竹報導〕2022年世界烘培麵包冠軍團隊教練吳武憲,被香園紀念教養院照顧社會弱勢的大愛所感動,願將自己在烘焙業近40年的專業無私奉獻,傳承給香園烘焙坊的師傅與服務對象,今天溫馨發表「總柿有你」歐式養生大麵包,希望支持身心障礙者有工作的機會,為香園發展出新契機。",L1-04,文本聚焦於身心障礙者的工作機會與生活福祉，屬於人文關懷範疇,L2-12,強調專業人士無私奉獻傳承技能，體現公共責任感,照顧社會弱勢的大愛所感動|支持身心障礙者有工作的機會|專業無私奉獻,社會弱勢關懷|技能傳承|身心障礙就業,溫馨|感動|希望,無私奉獻|大愛,high,,
_8ef6f3e57e96_u002,柯文哲,TPP,news,2023-11-24 11:46:36,"柯文哲在上樓登記前先在中選會一樓發表談話,他強調,「這次選舉中要贏下我們的未來,這是我們的國家、我們的未來。」 柯文哲在致詞時表示,「2014年我離開了台大醫院,並在大局不看好的情況下當選了市長;2018年我在藍綠夾殺下連任成功,2019年成立民眾黨,十年來大家對我的期望越來越高。」 「今年520我宣布參選,」柯文哲回憶,從基隆到屏東他深深感受到,「柯文哲應當要是台灣的柯文哲,台灣的柯文哲應該堅定步伐,堅守民主專業價值,實現眾人的期望」。",L1-09,文本核心聚焦選舉參選歷程與政治影響力，強調從個人政治生涯到國家層面的政治後果,L2-01|L2-15|L2-13,L2-01體現在將台灣預設為國家主體；L2-15強調民主專業價值；L2-13提出贏取未來的共同願景,"這次選舉中要贏下我們的未來,這是我們的國家、我們的未來|柯文哲應當要是台灣的柯文哲,台灣的柯文哲應該堅定步伐,堅守民主專業價值",選舉勝利目標|政治生涯回顧|民主價值承諾,第一人稱敘事|使命感語氣|集體號召,我們的國家|民主專業價值|台灣的柯文哲,high,,
_69bef250374c_u003,柯文哲,TPP,news,2023-10-13 11:28:00,"「但對創作者而言,很多電影手法不能使用在VR作品中,就像電影裡可以跳接分鏡,那個是電影的語言,直接放在VR裡面,其實是完全是不行的。」陳芯宜說,即使觀眾戴上設備後也是「觀影」,實際上而言,VR作品更像是劇場作品,「劇場是個盒子,空間沒有變,但要透過佈景、道具、燈光改變。」 陳芯宜今年5月與北師美術館合作開辦「無法離開的人」展覽,讓故事從VR作品擴及到戲外,也將VR作品優勢放大,她分享:「VR是太特殊的媒材,讓人像是做了一場夢,影片結束就像從惡夢或好夢中驚醒,可能一時會有種回不來(現實)的感覺。」 這次展覽顧慮到觀眾結束後需要時間「清醒」,整個展覽都給觀影者沉浸式感受,像是觀影者看完影片後能帶著餘韻參閱白色恐怖歷史文件,包含書信、看守所時製作的物件,陳芯宜說:「有觀眾說整個展覽看完,一開始要帶頭戴式裝置像是要被處刑,觀影空間上方有個小窗戶,看完影片看到光透進來,整個是很有感覺的。」 陳芯宜認為,台灣的VR發展算走得很前面,像是2018年的「留給未來的殘影」就能有8K品質,去年「無法離開的人」也是影像品質優於威尼斯影展其他作品,「這是個非常關鍵的事情,因為裝備戴上去,就會更加真實。」 對於受邀擔任威尼斯影展沉浸式單元評審團主席,她笑說,一開始不知道是擔任主席,只想說當評審就有機會能看完參賽作品,會是不錯的體驗,知道是擔任主席後才開始感到壓力。",L1-04,文本主要讨论VR技术在艺术创作中的应用及其对观众体验的影响，聚焦于文化创作与生活体验层面。,L2-11,文本通过强调台湾VR作品在国际影展中的技术领先地位来激发民族自豪感。,台灣的VR發展算走得很前面|去年「無法離開的人」也是影像品質優於威尼斯影展其他作品,VR技术特性分析|艺术创作手法比较|国际竞争力展示,专业术语使用|经验分享语气|成就肯定表述,台灣的VR發展算走得很前面,medium,L2-11的证据相对有限，主要基于技术成就的表述,
_d8bfaa66230b_u009,赖清德,DPP,news,2023-06-04 20:18:00,"(編輯:管中維)1120604 人選之人編劇簡莉穎自曝遭貝嶺騷擾:不是唯一一個 遭指未正面回應性騷案 王丹:與記憶有巨大落差 賴清德重申民進黨嚴肅面對性騷案 不因考量選舉改變 民進黨性騷案衍生職場霸凌 北市勞檢限1個月改善 職場性騷擾以同事居多 7到8成受害者低調沒申訴 婦團:6成性暴力被害人曾求助 僅28%覺得被接住 前藍營縣長涉性騷 侯友宜籲黨中央主動調查絕不寬貸 傳藍智庫特約副研究員曾柏文涉性騷擾 國民黨:現無合作關係 董成瑜指遭傅崐萁性騷 郝龍斌:傅要坦然面對說清楚 洪智坤被控性騷 陳菊:不可原諒給予最嚴厲譴責 婦團:性騷與否視對方感受 事發後同儕氛圍很重要 2至6月性影像申訴案較去年同期增5倍 受害者4成男性、年齡最高逾70歲 政院通過性騷法修法草案 申訴期限延長2到3年 2025/05/24 12:36 2025/04/28 11:23 2025/04/17 17:17 2025/04/10 16:47 2025/04/09 18:38 2025/04/09 13:01 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",L1-04,文本聚焦性騷擾受害者的生活經驗、求助困境與心理健康影響，屬於人文關懷範疇,L2-05|L2-06,L2-05體現在對性騷擾事件的重新詮釋與意義建構，L2-06體現在塑造集體記憶與共享經驗,7到8成受害者低調沒申訴|僅28%覺得被接住|性騷與否視對方感受,性騷擾受害者困境|申訴機制不足|社會支持系統缺失,事實陳述語氣|數據佐證|多案例列舉,嚴肅面對性騷案|絕不寬貸|坦然面對說清楚,high,,
_2001252c57f6_u013,侯友宜,KMT,news,2023-08-07 23:12:00,"賴清德解釋,從他加入民進黨就深刻感受到,民進黨是愛、和平、非暴力的政黨,民進黨的前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙、以暴制暴或是血債血還,所以民進黨推動二二八紀念日,叫和平紀念日。",L1-02,文本核心在論述民進黨的道德特質與價值選擇，強調其堅持和平非暴力的倫理立場,L2-05|L2-06|L2-10,L2-05體現在對二二八事件的重新詮釋，L2-06表現在訴諸黨史記憶，L2-10透過犧牲故事激發情感共鳴,"民進黨是愛、和平、非暴力的政黨|從來沒有要求以牙還牙、以暴制暴|民進黨推動二二八紀念日,叫和平紀念日",政黨道德形象建構|歷史事件重新詮釋|和平價值主張,情感化論述|對比修辭|權威見證,愛、和平、非暴力|以牙還牙、以暴制暴|和平紀念日,high,,
_67481dd74869_u021,赖清德,DPP,news,2023-08-30 19:55:40,"蔡總統過去提出「四大堅持」,他以此為基礎上提出「四大支柱」,無非都是希望台灣在經過幾十年的打拚與努力,不僅要在世界經濟的繁榮與發展上貢獻所能,在印太區域的和平及穩定上,也願意扮演積極角色。",L1-08,文本核心在闡述政策主張的延續與目標設定，聚焦於政策設計與願景規劃,L2-01|L2-13,L2-01體現在將台灣預設為國際行為主體，L2-13體現在描繪積極參與國際的未來願景,"蔡總統過去提出「四大堅持」,他以此為基礎上提出「四大支柱」|不僅要在世界經濟的繁榮與發展上貢獻所能,在印太區域的和平及穩定上,也願意扮演積極角色",政策延續性|國際參與願景|區域角色定位,願景式表述|積極正面措辭,四大堅持|四大支柱|印太區域和平穩定,high,,
_67481dd74869_u021,侯友宜,KMT,news,2023-08-30 19:55:40,"蔡總統過去提出「四大堅持」,他以此為基礎上提出「四大支柱」,無非都是希望台灣在經過幾十年的打拚與努力,不僅要在世界經濟的繁榮與發展上貢獻所能,在印太區域的和平及穩定上,也願意扮演積極角色。",L1-08,文本核心在闡述政策理念與目標設定，聚焦於蔡總統提出的政策框架及其國際角色定位。,L2-01|L2-13,L2-01體現在將台灣預設為國際行為主體；L2-13體現在描繪台灣在國際社會的積極角色願景。,"蔡總統過去提出「四大堅持」,他以此為基礎上提出「四大支柱」|不僅要在世界經濟的繁榮與發展上貢獻所能,在印太區域的和平及穩定上,也願意扮演積極角色",政策延續與發展|國際貢獻角色|區域和平穩定,願景導向表述|積極角色定位,四大堅持|四大支柱,high,,
_2001252c57f6_u013,赖清德,DPP,news,2023-08-07 23:12:00,"賴清德解釋,從他加入民進黨就深刻感受到,民進黨是愛、和平、非暴力的政黨,民進黨的前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙、以暴制暴或是血債血還,所以民進黨推動二二八紀念日,叫和平紀念日。",L1-02,文本核心在論述民進黨的價值觀與道德立場，強調其愛、和平、非暴力的倫理特質,L2-05|L2-06|L2-10,L2-05體現在對二二八事件的重新詮釋，L2-06體現在訴諸黨史記憶，L2-10體現在和平情感動員,"民進黨是愛、和平、非暴力的政黨|前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙|民進黨推動二二八紀念日,叫和平紀念日",政黨道德形象建構|歷史事件重新詮釋|和平價值主張,道德論述|情感化敘事|對比修辭,愛、和平、非暴力|以牙還牙、以暴制暴|和平紀念日,high,,
_4b8e0711338d_u002,侯友宜,KMT,news,2023-07-11 05:30:00,"而這段歷史的主舞台就位於前空軍桃園基地,市府於二○一六年將包括黑貓中隊棚廠在內的七處建築設施群指定為市定古蹟,並在文化部、國防部協助下,共投入六.四五億元經費正進行古蹟修復、活化,「再造歷史現場」,並長期規劃發展成為航空城博物館園區,期望未來開放國人參觀時,能感受到前人以青春、血淚乃至生命為代價而換來的國家安定,認知沒有廉價的國防。",L1-04,文本聚焦於文化遺產保存、歷史教育與民眾參觀體驗等生活福祉議題,L2-05|L2-06|L2-11|L2-12,L2-05體現在對歷史意義的重新詮釋，L2-06透過共享記憶強化認同，L2-11激發對前人犧牲的崇敬，L2-12喚醒國防責任意識,"期望未來開放國人參觀時,能感受到前人以青春、血淚乃至生命為代價而換來的國家安定|認知沒有廉價的國防|再造歷史現場",歷史遺產保存|國防教育|集體記憶傳承,教育性敘述|情感喚起|官方規劃語氣,再造歷史現場|國家安定|沒有廉價的國防,high,,
_2001252c57f6_u013,柯文哲,TPP,news,2023-08-07 23:12:00,"賴清德解釋,從他加入民進黨就深刻感受到,民進黨是愛、和平、非暴力的政黨,民進黨的前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙、以暴制暴或是血債血還,所以民進黨推動二二八紀念日,叫和平紀念日。",L1-02,文本核心在論述民進黨的道德特質與價值選擇，強調其堅持和平非暴力的倫理立場,L2-05|L2-06|L2-10,L2-05體現在對二二八事件的重新詮釋，L2-06表現在訴諸黨史記憶，L2-10透過和平理念激發情感共鳴,"民進黨是愛、和平、非暴力的政黨|前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙|民進黨推動二二八紀念日,叫和平紀念日",政黨道德特質論述|歷史事件重新詮釋|和平價值主張,道德宣示語氣|歷史對比修辭|價值肯定表述,愛、和平、非暴力|以牙還牙、以暴制暴|和平紀念日,high,,
_4b8e0711338d_u007,侯友宜,KMT,news,2023-07-11 05:30:00,"口述歷史方面,文化局製作《鐵翼榮光》前桃園空軍基地傳奇主題影片,另進行文史調查、文物徵集等工作,陸續推出航空城影像紀錄冊《憶載航空城》、第一部航空城人文變遷紀錄片《記憶家園》,並成立航空城文史調查駐地工作站進行調查推廣、展示等活動,出版《打開時空寶盒:嬉遊大園文化資產》圖文書將深入校園暑期營隊,上月五日製作3D遊戲〈黑貓:逆光〉上線,希望藉由重現歷史場域的種種努力,讓國人更加了解國防歷史與其代表的意涵。",L1-04,文本聚焦於文化遺產保存、歷史教育與社區推廣等提升民眾文化生活品質的活動,L2-05|L2-06|L2-11,L2-05體現在對航空歷史的系統性詮釋，L2-06體現在通過多媒體重現共享記憶，L2-11體現在強調國防歷史的榮光意義,"製作《鐵翼榮光》前桃園空軍基地傳奇主題影片|希望藉由重現歷史場域的種種努力,讓國人更加了解國防歷史與其代表的意涵|出版《打開時空寶盒:嬉遊大園文化資產》圖文書將深入校園暑期營隊",文化遺產保存|歷史教育推廣|國防歷史詮釋,教育性敘述|正向價值導向|文化傳承語氣,鐵翼榮光|記憶家園|國防歷史,high,,
_dbd2a950074f_u004,侯友宜,KMT,news,2023-12-01 22:00:00,"朱立倫表示,這次提名讓民眾感受到國民黨展現新的面貌,民進黨不分區專門提名不敢選、不敢戰的,各派系分贓,國民黨則都是敢戰的。",L1-09,文本核心在比較兩黨提名策略對政治競爭格局的影響，強調國民黨新面貌對民眾感受的衝擊,L2-02|L2-08|L2-14,L2-02通過對比兩黨提名標準凸顯差異，L2-08將民進黨描繪為分贓的負面他者，L2-14隱含團結支持國民黨的號召,民進黨不分區專門提名不敢選、不敢戰的|各派系分贓|國民黨則都是敢戰的,政黨競爭比較|提名策略批判|形象重塑訴求,對比修辭|負面標籤化|正面自我標榜,敢戰|分贓|新面貌,high,,
_5787e7eef114_u005,侯友宜,KMT,news,2023-08-27 19:53:20,"吳音寧說,謝家說詞根本反反覆覆,現在又將侯柯郭三人湊在一起,這種戲碼就是標準的利益分贓,完全無視人民自主的投票選擇權與人民感受,還力主郭台銘當立法院長,「謝家這已經不是買雙保險,簡直是包牌,攏他家卯贏(包贏)嗎?」 彰化縣第三選區立委參選人吳音寧今天批評同選區立委謝衣鳯主張「侯柯配」,並指謝衣鳯說詞反覆,謝家已經不是買雙保險,簡直是包牌。",L1-09,文本核心在批評對手政治操作對選舉結果的影響，聚焦於選情走向與政治聯盟的後果,L2-08|L2-14,L2-08體現在將謝家描繪為利益分贓的共同敵人，L2-14體現在呼籲人民自主投票權的團結意識,"這種戲碼就是標準的利益分贓|完全無視人民自主的投票選擇權與人民感受|謝家已經不是買雙保險,簡直是包牌",政治聯盟批判|選舉操作分析|利益分配指控,批判性修辭|情緒化比喻|對立框架建構,利益分贓|人民自主投票權|包牌,high,,
