id,candidate,party,source_type,date,sentence,L1_label,L1_reasoning,L2_labels,L2_reasoning,spans,content_frames,style_markers,ideological_phrases,confidence,uncertain_boundary,error,batch
17,侯友宜,KMT,news,2023/7/3 15:16,"(圖:蔡筱薇服務處提供) 2023/07/03 15:16 〔記者王俊忠/台南報導〕針對有意參選總統的鴻海企業創辦人郭台銘,今天到台南市幫國民黨立委參選人、東區市議員王家貞站台,與王家貞同選區的民進黨市議員蔡筱薇指出,郭到台南拔樁的意圖濃厚,距離獨立參選更進一步,同時也代表國民黨的立委參選人們對於母雞侯友宜的不信任。",L1-09,文本核心分析郭台銘站台對總統選情與政黨內部關係的政治影響，而非政策內容或道德評價,L2-09,文本通過郭台銘與侯友宜的對比，凸顯國民黨內部競爭意識與支持度差距,郭到台南拔樁的意圖濃厚|距離獨立參選更進一步|國民黨的立委參選人們對於母雞侯友宜的不信任,選舉策略分析|政黨內部競爭|總統參選動向,政治術語運用|競爭關係描述|意圖推測,拔樁|母雞|獨立參選,high,,,validation_set
18,侯友宜,KMT,news,2023/6/17 18:55,"侯友宜與韓國瑜合體時間 曾銘宗:很快了 2023/6/17 18:55 (6/17 19:18 更新) (中央社記者郭建伸、劉冠廷台北17日電)國民黨立法院黨團總召曾銘宗今天表示,國民黨不可能「換侯」,換的機率是0。",L1-09,文本聚焦國民黨內部整合對選情的影響，核心在政治後果分析,L2-14,曾銘宗強調黨內團結，排除換侯可能性以凝聚共識,國民黨不可能「換侯」|換的機率是0,黨內整合時程|選舉合作安排|政治穩定性聲明,權威表態|明確否定|政治操作語言,合體時間|不可能換侯,high,,,validation_set
19,侯友宜,KMT,news,2023/5/21 1:03,"(編輯:施施)1120521 侯友宜:主流民意不接受中國強加台灣統一模式 駁侯友宜 賴清德:自由民主不是國民黨DNA 柯文哲:年輕人看不見希望 我們不能這樣就算了 2024三腳督成形 賴清德侯友宜柯文哲520拚場 藍白政黨協商30日登場 朱立倫:不是為個別政黨考量 選出最強總統參選人 朱立倫:我與侯柯一起坐下來談 2025/05/24 10:37 2025/05/20 12:58 2025/05/20 10:36 2025/05/15 14:21 2025/05/15 14:16 2025/05/15 13:34 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",L1-09,文本聚焦2024總統選舉三位主要候選人的競爭態勢與政黨協商，核心在分析選舉對政治格局的影響,L2-02|L2-15,賴清德通過對比國民黨凸顯民主價值差異，侯友宜強調台灣民意與中國統一模式的區隔,主流民意不接受中國強加台灣統一模式|自由民主不是國民黨DNA|2024三腳督成形 賴清德侯友宜柯文哲520拚場,選舉競爭分析|政黨價值對比|民意訴求表達,政治口號式表述|對比性修辭|選舉動員語言,主流民意|中國強加台灣統一模式|自由民主不是國民黨DNA,high,,,validation_set
20,侯友宜,KMT,news,2023/5/24 17:55,"柯文哲說,他在台北市長任內所用的3位副市長涵蓋國、民、親各黨,以及他與美國、中國的互動關係,選上總統有4大利多,能降低台海戰爭機率,台灣能成為中、美溝通橋梁,台灣內部會和諧,以及政府效能更好。",L1-09,文本核心在論述柯文哲當選總統對政治格局的影響，包括降低台海戰爭機率、促進內部和諧等政治後果,L2-01|L2-04|L2-13,L2-01體現在將台灣預設為能與中美互動的主體；L2-04透過強調成為溝通橋梁塑造國際合法性；L2-13提出台灣未來發展的願景藍圖,能降低台海戰爭機率|台灣能成為中、美溝通橋梁|台灣內部會和諧,跨黨派合作優勢|國際橋梁角色|政府效能提升,列舉式論證|前瞻性承諾|務實導向,降低台海戰爭機率|中美溝通橋梁|政府效能更好,high,,,validation_set
21,侯友宜,KMT,news,2023/4/15 18:26,"賴清德強調,台灣民主自由仰賴前輩們艱辛奮鬥及現在台灣人共同守護,民主是台灣對國際社會貢獻,也是國際友邦最大投資,2024大選很重要,關係整個印太地區安全及全球和平,面對中共侵台野心未減,台灣國防也必須相對因應更加堅實防備,他將會用「民主團結」、「民主治理」、「民主和平」三大行動,持續壯大民主台灣,讓世界看見台灣的價值,擁抱台灣。",L1-03,文本核心聚焦中共侵台野心與台灣國防堅實防備，強調印太地區安全與全球和平威脅,L2-01|L2-07|L2-08|L2-15,L2-01體現台灣作為民主主體；L2-07建構中共侵台野心危機；L2-08設定中共為共同敵人；L2-15強調民主價值為台灣核心身份,"面對中共侵台野心未減,台灣國防也必須相對因應更加堅實防備|民主是台灣對國際社會貢獻|關係整個印太地區安全及全球和平",民主價值防衛|國防安全強化|國際和平貢獻,強調性措辭|危機論述|價值宣示,民主團結|民主治理|民主和平|壯大民主台灣,high,,,validation_set
22,侯友宜,KMT,news,2023/6/8 17:45,"直到今天,市府針對餵藥案都沒有統一窗口、沒有統一資訊,連今晚預計舉行的說明會,各個陳情人接到的資訊都不一致,17位報案家長依然求助無門!",L1-08,文本核心在批評市府政策執行過程的混亂與失能，包括缺乏統一窗口、資訊不一致等管理問題,L2-07,將餵藥案處理不當建構為系統性危機，強調家長求助無門的困境,市府針對餵藥案都沒有統一窗口、沒有統一資訊|各個陳情人接到的資訊都不一致|17位報案家長依然求助無門,政府行政失能|公共服務缺失|民眾權益受損,批評性語氣|問題列舉式敘述|情緒化指控,求助無門|資訊不一致,high,,,validation_set
23,侯友宜,KMT,news,2023/5/8 16:31,"為了表彰桃園機場第一線主要執行單位在疫情期間守護國門的努力,桃園國際機場公司總經理范孝倫(中)今(8)日頒贈防疫勳章給機場內10個防疫有功單位代表。",L1-04,文本聚焦表彰機場人員在疫情期間守護民眾健康與安全的貢獻，屬於人文關懷範疇,L2-11|L2-12,L2-11體現在表彰防疫有功單位以激發自豪感，L2-12體現在強調第一線人員守護國門的責任與奉獻,守護國門的努力|頒贈防疫勳章給機場內10個防疫有功單位代表,疫情防護表彰|公共衛生貢獻|機構協同抗疫,表彰性語言|官方儀式敘述|正面肯定語氣,守護國門|防疫有功單位,high,,,validation_set
24,侯友宜,KMT,news,2023/5/18 5:30,"第三,台灣是國際社會的一員,是自由民主陣營重要夥伴,在全球產業分工、智慧科技發展中,更扮演重要角色。",L1-08,文本核心在定位台灣在國際體系中的角色與功能，屬於政策制定與評估中的國際定位論述,L2-01|L2-04|L2-15,L2-01體現在將台灣預設為國際社會成員；L2-04通過強調國際角色塑造合法性；L2-15以民主價值界定身份邊界,台灣是國際社會的一員|自由民主陣營重要夥伴|在全球產業分工、智慧科技發展中扮演重要角色,國際定位論述|民主價值認同|全球參與角色,宣示性語氣|正面肯定表述|身份建構導向,自由民主陣營|國際社會一員|全球產業分工,high,,,validation_set
25,侯友宜,KMT,news,2023/6/29 20:30,"侯友宜訪苗栗 鍾東錦:會挺國民黨總統參選人 2023/6/29 20:30 (6/29 20:36 更新) (中央社記者魯鋼駿苗栗縣29日電)國民黨總統參選人、新北市長侯友宜今天拜訪苗栗縣政府時說,希望新北、苗栗共好。",L1-09,文本核心在報導侯友宜拜訪苗栗縣政府時獲鍾東錦表態支持，聚焦於選舉政治聯盟對總統選情的影響,L2-14,鍾東錦表態支持國民黨總統參選人體現了黨內團結號召，侯友宜提出『共好』也是團結訴求,鍾東錦:會挺國民黨總統參選人|侯友宜今天拜訪苗栗縣政府|希望新北、苗栗共好,政治表態支持|選舉聯盟建構|區域合作訴求,政治新聞報導|中立客觀陳述|聚焦政治互動,挺國民黨總統參選人|共好,high,,,validation_set
26,侯友宜,KMT,news,2023/5/22 23:19,"國民黨具有與中國的溝通管道,並能維持良好關係的形象成為競選優勢,助馬英九在2008年總統選舉中勝選。",L1-09,文本核心在分析選舉結果與政黨競爭優勢，聚焦政治後果而非政策或經濟內容,L2-09,文本通過比較國民黨與對手的對中關係能力，凸顯競爭優勢,"國民黨具有與中國的溝通管道,並能維持良好關係的形象成為競選優勢|助馬英九在2008年總統選舉中勝選",兩岸關係作為選舉優勢|政黨競爭比較,客觀分析語氣|競爭優勢論述,與中國的溝通管道|維持良好關係,high,,,validation_set
27,侯友宜,KMT,news,2023/7/5 20:15,"這一切的通關密語,就是侯友宜公開宣示的以「符合中華民國憲法的九二共識」,重啟兩岸關係的正常化,奠定兩岸和平的基石。",L1-08,文本核心在闡述如何透過特定政策主張來重啟和規範兩岸關係，聚焦於政策設計與執行。,L2-01|L2-04,L2-01 體現在以中華民國憲法為基礎建構主體性；L2-04 體現在引用憲法框架尋求國際合法性。,以「符合中華民國憲法的九二共識」|重啟兩岸關係的正常化|奠定兩岸和平的基石,憲法框架下的兩岸政策|和平基石建立|關係正常化路徑,宣示性措辭|規範性主張,符合中華民國憲法的九二共識|兩岸和平的基石,high,,,validation_set
28,侯友宜,KMT,news,2023/10/24 5:30,"侯友宜表示,藍、白一定要合,因為六成以上的主流民意都期待政黨輪替、下架民進黨,他和黨主席朱立倫、全黨上下、競辦團隊的態度都非常明確,他身為藍營的競選主帥,有責任全力促成,因此釋出最大誠意。",L1-09,文本核心在分析政黨合作對選舉結果的影響，聚焦於政黨輪替的民意基礎與政治後果,L2-01|L2-08|L2-14,L2-01體現在以藍營主帥身份宣示集體行動；L2-08將民進黨設定為共同敵人；L2-14明確號召團結合作,六成以上的主流民意都期待政黨輪替、下架民進黨|藍、白一定要合|有責任全力促成,政黨輪替民意訴求|政黨合作必要性|競選主帥責任,明確宣示立場|責任論述|誠意表達,下架民進黨|政黨輪替|藍白合,high,,,validation_set
29,侯友宜,KMT,news,2023/11/4 17:28,"馬英九還說,這場選舉不只關係國民黨的勝敗,也關係中華民國的前途,民進黨執政7年來實在不像話,國防、外交、經濟全都在倒退,所以國民黨的任務很重要,一定要讓中華民國打勝仗。",L1-09,文本核心在分析民進黨執政對國民黨選舉前景與中華民國前途的政治影響,L2-01|L2-08|L2-14,L2-01體現在將中華民國作為國家主體，L2-08將民進黨設定為共同敵人，L2-14明確號召團結打勝仗,"這場選舉不只關係國民黨的勝敗,也關係中華民國的前途|民進黨執政7年來實在不像話|一定要讓中華民國打勝仗",選舉勝敗與國家前途關聯|執政黨表現負面評價|政黨任務重要性,批判性措辭|動員性語言|二元對立框架,中華民國的前途|打勝仗|民進黨執政不像話,high,,,validation_set
30,侯友宜,KMT,social_media,2023/11/18 7:00,Very pleased to meet with Dr. Morris Chang in San Francisco to follow up on our meeting last year during APEC in Bangkok. We spoke about @POTUS and my agenda for the Indo-Pacific region and our relationship on the economy and technology.,L1-08,文本核心在描述外交會晤的政策議程討論，聚焦於印太地區關係的經濟與科技政策制定,L2-01|L2-04,L2-01體現在將我方作為國際關係平等主體，L2-04體現在強調符合國際議程與雙邊關係的正當性,follow up on our meeting last year during APEC|agenda for the Indo-Pacific region and our relationship on the economy and technology,外交政策延續|區域經濟科技合作|雙邊關係發展,正式外交辭令|積極合作語氣|議程導向表述,Indo-Pacific region|economy and technology|our relationship,high,,,validation_set
31,侯友宜,KMT,social_media,2023/11/2 22:17,"沒有敵我意識,反制統戰也不會有效果;",L1-03,文本核心在討論對抗統戰的安全威脅與防禦意識,L2-08,明確設定「敵我」二元框架，將統戰視為需要反制的威脅源,沒有敵我意識|反制統戰也不會有效果,安全防禦意識|統戰威脅應對,警示性論述|二元對立框架,敵我意識|反制統戰,high,,,validation_set
32,侯友宜,KMT,social_media,2023/11/2 22:17,"一方面跟統戰不設防有關,因為從1949年開始,中國在台灣放謠言不是書面而已,而是在地方上到處透過代理人放謠言,後來才慢慢開始變成買報紙、買媒體、買地下電台,到現在的買粉專、經營中國社群平台,並搭配駭客攻擊。",L1-03,文本核心在描述中國對台灣的系統性滲透與攻擊行為，包括散布謠言、收買媒體和駭客攻擊，這些都構成安全威脅,L2-07|L2-08,L2-07體現在建構台灣面臨的系統性滲透危機，L2-08體現在將中國明確設定為具有惡意意圖的共同敵人,中國在台灣放謠言不是書面而已|買報紙、買媒體、買地下電台|搭配駭客攻擊,外部滲透威脅|媒體操控|網路攻擊,指控性語言|威脅敘事|系統性描述,統戰不設防|中國在台灣放謠言|買媒體,high,,,validation_set
33,侯友宜,KMT,social_media,2023/5/22 21:08,global friends on the sidelines of #WHA76. Unjust exclusion can't stop us from proving that #TaiwanCanHelp.,L1-09,文本聚焦台灣被排除在世界衛生大會外的政治後果與國際影響,L2-04|L2-08|L2-10,L2-04體現在尋求國際認可與證明台灣貢獻；L2-08將排除行為定義為不公正的敵對行動；L2-10透過情感語言激發集體情緒,Unjust exclusion|proving that #TaiwanCanHelp|global friends on the sidelines,國際參與受阻|證明台灣價值|不公正待遇,情感化指控|口號式表達|積極反擊姿態,TaiwanCanHelp|Unjust exclusion,high,,,validation_set
34,侯友宜,KMT,social_media,2023/5/25 11:02,"Our thanks to all principled friends speaking up for #Taiwan🇹🇼 at #WHA76, among them #Paraguay🇵🇾, #MarshallIslands🇲🇭, #Haiti🇭🇹, #Nauru🇳🇷, #StVincentAndTheGrenadines🇻🇨, #SaintLucia🇱🇨, #Lithuania🇱🇹, #Luxembourg🇱🇺, #Germany🇩🇪 &amp;",L1-08,文本聚焦台湾参与世界卫生大会的外交政策过程与国际支持动员,L2-01|L2-04,L2-01体现于将台湾预设为国际行为主体，L2-04体现于通过国际支持论证参与正当性,speaking up for #Taiwan🇹🇼 at #WHA76|Our thanks to all principled friends,国际外交支持|多边论坛参与|正当性论证,国旗符号标记|感谢修辞|国际盟友列举,speaking up for Taiwan|principled friends,high,,,validation_set
35,侯友宜,KMT,social_media,2023/11/2 22:17,"2. #網路攻擊:中國駭客的能力非常強,高於世界平均,而資安不是只有政府要做,是全民都要做。",L1-03,文本聚焦於網路攻擊威脅與全民資安防護，核心在安全風險的論述,L2-07|L2-08,L2-07體現在建構全民面臨的網路安全危機，L2-08體現在將中國駭客設定為共同威脅源,"中國駭客的能力非常強,高於世界平均|資安不是只有政府要做,是全民都要做",網路安全威脅|能力不對稱|全民防護責任,警示性語氣|威脅強調|責任呼籲,中國駭客|全民都要做,high,,,validation_set
36,侯友宜,KMT,social_media,2023/11/2 22:17,"5. #經濟戰:對於中資的審查仍然嚴重不足,中國繞道投資太多,更不要說地方經濟與中國的依賴經濟。",L1-03,文本將中資審查不足與繞道投資描述為經濟安全威脅，核心在於防範外部滲透風險,L2-07|L2-08,L2-07體現在建構經濟依賴的系統性危機，L2-08體現在將中國投資設定為需防範的威脅源,中資的審查仍然嚴重不足|中國繞道投資太多|地方經濟與中國的依賴經濟,經濟安全威脅|外部滲透風險|依賴經濟危機,警示性措辭|問題導向敘述,經濟戰|中資審查|繞道投資|依賴經濟,high,,,validation_set
37,侯友宜,KMT,news,2023/12/26 22:28,"朱立倫說,今晚造勢活動是有史以來最多雲林人站出來的一次,只有侯友宜當選,下一代才能安心、安定、安全在台灣過好日子,最後關鍵十幾天,大家要團結一致支持侯友宜。",L1-09,文本核心聚焦選舉對政治格局的影響，強調侯友宜當選對台灣未來的政治後果,L2-14,文本明確發出團結號召，要求支持者團結一致支持特定候選人,"只有侯友宜當選,下一代才能安心、安定、安全在台灣過好日子|最後關鍵十幾天,大家要團結一致支持侯友宜",選舉影響未來生活|團結支持特定候選人|下一代安全保障,動員性語言|祈使句式|未來願景描繪,安心、安定、安全|團結一致,high,,,validation_set
