Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2023/7/19 7:43,"This is wonderful news, exemplifying the strong bipartisan congressional support for a robust trade relationship that is mutually beneficial to both the US and Taiwan!  Thanks to all!",779,107,25
2023/7/15 5:10,Today I visited the Rhode Island State House to celebrate an agreement that will foster education and cultural exchanges between Taiwan and RI.  Thanks to all who have worked for this.,926,77,19
2023/7/14 5:37,"Relieving workers and businesses from double taxation is important for bilateral investment.  Appreciate the congressional momentum in tackling the problem, and look forward to an effective pathway ahead.  

",320,38,2
2023/7/14 4:21,Pleased to see the congressional attention and efforts in resolving double taxation issues for businesses and employees in Taiwan-US cross-border investments.    Many thanks! ,421,49,5
2023/7/13 10:44,Honored to be invited to policy discussions on current events with analysts and supporters of the Reagan Foundation &amp; Institute.  A “fireside chat” with a real camp fire was quite an experience.,804,69,11
2023/7/5 7:32,Vice President ⁦⁦@ChingteLai⁩  shares his views on preserving peace and defending democracy.    ,787,104,42
2023/7/5 0:08,"Happy July 4 Independence Day 🇺🇸 Glad to celebrate with American friends the spirits of life, liberty, and the pursuit of happiness.",658,59,13
2023/6/17 8:10,"Finally, the first trial shipment of FRESH ginseng arrives in Taiwan!   I have fond memories of the trip to Wisconsin and the delicious meal hosted by @wphsu featuring ginseng as main ingredient.  Quite an energizing experience!",402,46,41
2023/6/17 2:29,So glad to see much progress in Taiwan-Indiana ties since @GovHolcomb visited Taiwan last summer.  Academic &amp; industry cooperation making strides as we enjoy warm Hoosier hospitality.,585,49,13
2023/6/16 5:27,"Pleased to be at Purdue for conversations on technology &amp; diplomacy, and to see how Taiwan &amp; US universities are working together cultivate key talent and future leaders.",653,64,14
2023/6/15 20:58,¡Inicia la Feria de Alimentos de Taipei! Te invitamos a que visites y apoyes el stand de Guatemala del 14 al 17 de junio en el salón de exhibiciones de NanGang. #GuatemalaTaiwanAmigos #SelloBlancoEnTaiwan 🇬🇹🇹🇼 ,64,13,2
2023/6/8 21:27,Another wildfire-affected hazy morning in DC.  A day to get those masks out again.  😷 😓,386,18,36
2023/6/8 0:36,This latest MAC survey demonstrates a high level of agreement among Taiwanese people toward President Tsai’s approach to cross Strait affairs and international relations.  ,500,58,18
2023/6/6 8:59,Many thanks to @SenatorMenendez and bipartisan members of Congress for consistently backing strong US-Taiwan trade ties.  Couldn’t have achieved this agreement without your support!  ,707,77,34
2023/6/4 20:45,"""Going to march, Tiananmen Square.""
""Why?""
""It's my duty.""

Source: BBC

#June4 
#TiananmenSquareMassacre ",8372,2656,213
2023/6/3 21:51,"Praying for everyone affected by the train accident in India. I extend my heartfelt condolences to the victims and their families, and hope that rescue operations can save all those in need.",5888,716,344
2023/6/2 8:42,"I thanked our friends from the Ronald Reagan Foundation &amp; Institute for hosting @iingwen and bipartisan leaders from Congress this April.  Continuing the commitment to pursuing peace, freedom, and democracy.",1002,103,27
2023/6/2 4:15,"Such an honor to represent Taiwan in signing this milestone agreement of the US-Taiwan Initiative on 21 Century Trade.   Thanks to the commitments of both USG USTR and Taiwan negotiators to high standards, look forward to deepening trade. ",2455,428,119
2023/5/27 1:39,"Appreciated the invitation to speak with Main Street Caucus members on policy priorities in our partnership, and thankful for their interest in working together.",580,62,23
2023/5/25 23:28,"Grateful for this bipartisan initiative to resolve longstanding double taxation issues between the US &amp; Taiwan.  This is key to the success of cross-border investments and industry integration.  
",588,56,26
2023/5/25 11:04,"TEN FOR TAIWAN: This morning the Select Committee adopted 10 bipartisan policy recommendations for the 118th Congress, which will surge hard power across the international dateline and strengthen deterrence in the Taiwan Strait.  

📄Read the full report: ",452,182,216
2023/5/25 11:02,"Our thanks to all principled friends speaking up for #Taiwan🇹🇼 at #WHA76, among them #Paraguay🇵🇾, #MarshallIslands🇲🇭, #Haiti🇭🇹, #Nauru🇳🇷, #StVincentAndTheGrenadines🇻🇨, #SaintLucia🇱🇨,  #Lithuania🇱🇹, #Luxembourg🇱🇺, #Germany🇩🇪 &amp; #Estonia🇪🇪! Global health must transcend politics! ",403,87,23
2023/5/24 23:18,It was an honor to host the Czech Parliament delegation led by Speaker @market_a  highlighting solidarity among like-minded advocates for democracy.  Glad to have the people of Czech Republic as friends of Taiwan. ,1108,115,34
2023/5/22 21:08,"May 20th was the 7th anniversary of President Tsai's inauguration. Over the past 7 years, we have made Taiwan more stable and connected. ROC Taiwan is key to global peace and prosperity. As a presidential candidate, I vow to build on the foundations laid down by President Tsai. ",2050,226,204
2023/5/22 21:08,"Blocked from participating in the @WHO, doctors &amp; public health experts from #Taiwan🇹🇼 shared their expertise at self-organized events attended by overseas Taiwanese &amp; global friends on the sidelines of #WHA76. Unjust exclusion can't stop us from proving that #TaiwanCanHelp. ",456,91,24
2023/5/21 8:33,"Great day on the Potomac River with 1000+ paddlers for the annual TUSCA Dragon Boat Festival.  Despite a couple boats overturning, lots of fun in a genuine cultural experience.  Thanks to all who contributed &amp; participated！ ",755,54,15
2023/5/19 5:00,"So excited to see the trade negotiations for the first agreement successful, supporting deepening trade and commercial ties between Taiwan and the United States.  ",895,116,37
2023/5/18 5:58,#Taiwan🇹🇼 is proud to be the 1st country in #Asia to grant same-sex couples full adoption rights. The bill passed ahead of #IDAHOT🏳️‍🌈 is further proof of our resolve to respect #LGBTQI+ rights &amp; dignity while building a world of love &amp; justice. ,1207,240,70
2023/5/18 4:16,"Governor Youngkin addresses VMI graduates, including 4 Taiwanese cadets who will be defending Taiwan in the ROC armed forces.  Thank you for standing with us.",553,69,11
2023/5/15 9:05,"Delighted to join the students, teachers, volunteers, parents &amp; grandparents to commemorate 40 years of the DC Taiwanese School, where Taiwanese Americans, across generations, have celebrated their language &amp; culture. ",785,84,20
2023/5/14 21:23,"Celebrating Taiwanese American Heritage Week.  For those interested in music and dance from Taiwan. #TAAGWC 
$5 adults, students and children free. ",828,85,31
2023/5/12 13:12,A night in the President’s Office.,829,70,42
2023/5/11 0:47,Thanks USA &amp; @SecBlinken for once again advocating an invitation for Taiwan to meaningfully participate in the World Health Assembly.   Global health must be inclusive.  #TaiwanCanHelp,385,40,15
2023/5/10 23:07,"Taiwan is actively fortifying defenses and addressing security challenges so that peace and stability is preserved, and so that Taiwan will continue to be one of the safest and most reliable places for business.",740,77,50
2023/5/7 11:23,"Taiwan is not Ukraine, but while we strive to preserve peace and security  for Taiwan, we are linked with freedom-loving democracies in opposing aggression.",1232,125,126
2023/5/4 20:50,"Glad to see so many young entrepreneurs and startups attending this year’s #SelectUSA.  There is much enthusiasm for growing trade, investment and commercial ties between Taiwan and the US. ",1000,61,24
2023/5/1 8:25,"Felicidades al pueblo paraguayo!  I was honored to meet @SantiPenap during his visit to DC.  Tonight I’m raising a big cup of yerba mate 🧉 to salute to a successful new presidency in Paraguay, &amp; to friendship &amp; prosperity of our two peoples.  🇹🇼🤝 🇵🇾 ",1802,183,68
2023/4/28 12:04,"Here is the footage of the CCG vessel's unsafe and unprofessional maneuver to block the PCG vessel from replenishing the BRP Sierra Madre. China is a signatory to COLREGs, which is meant to prevent such unsafe practices. ",1591,774,160
2023/4/28 12:02,West Virginians celebrating with some singing.  Glad to welcome the reopening of the Mountain State’s trade office in Taiwan!,739,67,37
2023/4/24 23:00,"“To paraphrase President Eisenhower: ‘The only way to win this war is to prevent it.’ 

That means strengthening deterrence and making it clear to Xi Jinping that attacking Taiwan would be a disastrous mistake.” — Chairman @RepGallagher 

WATCH: Chairman Gallagher reveals the results of the Select Committee’s wargame and shares lessons learned.",487,208,223
2023/4/24 22:06,"We welcome the Virginia-Taiwan Trade Office, which will lay a stronger foundation for further cooperation.",798,57,29
2023/4/24 21:02,"Perspective of a Filipino student in Taiwan:   In need of your solidarity.  

",1924,205,100
2023/4/21 5:37,Honored to meet with Guatemala’s FM  @MarioBucaroGT in DC.  I thanked him for his friendship and unwavering support for Taiwan &amp; committed to @TECRO_USA  continuing partnership with the #Guatemala Embassy here in the US.  🇹🇼 🇬🇹🤝 ,1567,131,67
2023/4/20 8:08,Grateful for the chance to meet with members of the New Democrat Coalition to discuss our important security and economic partnership.,1049,89,54
2023/4/19 20:30,"I was pleased to preview the Taiwan Philharmonic NSO performance (tonight, Kennedy Center), at Twin Oaks last evening with members of the DC National Press Club.  Taiwan is not only a geopolitical headline, but an island of art, beauty, and culture. ",1754,147,61
2023/4/18 5:18,Taiwan doctors on a medical assistance mission to Ukraine 🇺🇦 .  #TaiwanCanHelp   ,1066,122,30
2023/4/17 20:15,The ship transited through a corridor in the Strait that is beyond the territorial sea of any coastal State. ,1397,105,67
2023/4/17 11:27,It was a pleasure to speak with students and faculty at the University of Washington.   Beautiful campus with cherry blossoms in full bloom.  The Burke Museum collection of Taiwan indigenous artifacts was also impressive! ,1409,107,30
2023/4/15 7:53,Pleased to join Rep DelBene and members of the World Affairs Council in a friendly dialogue on matters of mutual interest.,960,86,17
2023/4/13 6:00,"I was honored to meet with HE Terrance Drew, PM of St Kitts &amp; Nevis during his visit to DC.  An opportunity to reaffirm our ties and thank him for supporting Taiwan’s international participation. ",1941,111,81
2023/4/9 21:58,Happy Easter 🐇,1659,48,93
2023/4/9 11:43,"42 PLA aircraft and 8 vessels were detected by 11:00(UTC+8) April 8th. 29 of the detected aircraft had crossed northern, central, and southern median line of the #TaiwanStrait and entered our southwest #ADIZ, attempting coercion on us. ",1258,330,242
2023/4/8 3:01,AIT &amp; TECRO in a moment of like-mindedness when Chair Rosenberger @BoardChairAIT  and I found ourselves in coincidentally matching colors. ,2687,164,111
2023/4/7 8:43,"Wow, the PRC just sanctioned me again, for the second time. ",14352,1671,1719
2023/4/6 1:41,Hospitality warm and bright like the California sunshine.,4838,394,129
2023/4/3 18:14,Guatemala! 🇬🇹😻,962,55,21
2023/4/1 22:07,"Taiwanese passport holders, as citizens of the world, continued to be barred from accessing tours and events in the UN.  The journalists are right on point.   This is unjust and an affront to the UN spirit of universality and inclusion.",2902,472,118
2023/3/30 20:08,Welcome to New York! ,18182,1509,648
2023/3/30 10:58,Honored to once again represent Taiwan at the second virtual #SummitForDemocracy,1433,112,30
2023/3/29 23:54,"We are now en route to visit our diplomatic allies #Guatemala &amp; #Belize. The theme of this trip, ""Meeting Democratic Partners, Fostering Shared Prosperity,"" expresses our determination to foster deeper exchange and cooperation between #Taiwan and our allies. ",7935,1053,646
2023/3/26 11:44,"Naši parlamentní delegaci doprovází na Tchaj-wanu nejpočetnější podnikatelská mise v historii našich vzájemných vztahů. 🇨🇿🤝🇹🇼

Kdo by měl zájem, program a aktuální fotografie najde na webu 👉 ",2743,229,122
2023/3/26 8:42,"Wheels down for #MiseTaiwan—the largest ever #Czechia🇨🇿 delegation to #Taiwan🇹🇼! Alongside @sikunyou, Minister Wu extended his best wishes to Speaker @market_a &amp; other guests for their jam-packed 5-day visit. We’re excited for all the impactful exchanges set to expand our ties. ",2006,286,52
2023/3/23 1:48,"In my grandparents’ generation, Japan was a destroyer, not a defender. Now Kishida is in Ukraine, a strong democratic voice. As an ethnic Chinese, I then see Xi with Putin the same week and honestly, the contrast — it makes me sad. ",17941,3003,1
2023/3/21 20:05,Selfie time.  Glad to celebrate AIT Chair Moriarty’s retirement and welcome the new leadership of @BoardChairAIT.  Grateful for both partners’ friendship and commitment to deepening the strong relationship between USA and Taiwan. ,1978,145,51
2023/3/20 7:39,"Coming up…a Taiwanese adventure! Inside SoCal hits the road to explore the island — its food, architecture &amp; culture. From Taipei to Kaohsiung, Tainan &amp; the Alishan Mountains, we’ve got it all! Inside SoCal Sundays 8:55amPT on @kcalnews or stream live @ ",211,42,5
2023/3/16 8:53,Glad to visit the Taiwan Space pavilion at #Satellite2023 in DC today.  The Taiwanese companies demonstrated innovative technologies that will contribute to the future of global communications. ,755,70,31
2023/3/12 2:00,How China Boxed America Out of the South China Sea - WSJ ,460,62,33
2023/3/11 12:15,Congratulations from half a world away!  #TeamTaiwan,1113,80,20
2023/3/2 21:53,"In the upcoming #Taiwan🇹🇼 Gender Equality Week, held during @UN_Women's #CSW67, we're echoing the call for a world where more girls &amp; women get involved in #STEM. Watch our #TGEW2023 video &amp; learn how our countrywomen are helping change the world! ",378,83,35
2023/3/2 3:57,Please to work with West Virginia to promote education and cultural exchanges.  ,638,49,32
2023/3/2 3:56,"The ties between the Commonwealth of Kentucky and an East Asian country have been put on full display at the Frankfort Capitol. It came Friday when Taipei Economic and Cultural Representative Bi-khim Hsiao addressed the Kentucky Senate. 
",125,21,0
2023/3/1 6:45,Stopping by for a famous pepperoni roll in the Mountain State of #WestVirginia is a must. ,638,16,19
2023/2/26 0:38,"""Тайбей 101"" - найвища башта Тайваню та 11-й хмарочос за висотою у світі - світився прапором України на підтримку нашого народу у боротьбі з російською навалою. 

Дякуємо, Тайваню! 

Фото: CNA / Катерина Лелюх ",554,56,8
2023/2/25 7:18,"Today marks one year of Russia’s invasion of Ukraine. In defending their country, the #Ukrainian people have inspired the world with incredible bravery &amp; determination. #Taiwan is proud to #StandWithUkraine &amp; will continue to support our partners in democracy &amp; freedom. ",5226,855,426
2023/2/25 7:16,"Being constantly on the road and in action, I was pleased to encounter a rare occasion of my flight arriving a full 22 minutes early, luggage readily waiting at baggage claim, and smooth traffic.  Plus a very entertaining flight attendant.   ++++ ",1178,44,34
2023/2/18 11:07,"Touched and thankful to learn of the bipartisan Virginia General Assembly House vote today, 99-0, supporting an analysis to open a Trade Office in Taiwan.  I believe such an office will add momentum to deepening trade and economic ties.  @ReevesVA ",999,123,38
2023/2/17 21:48,I enjoyed visiting the historic city of Richmond for a day of meetings to deepen Taiwan’s ties with Virginia.  Grateful that state legislators are organizing a Virginia Taiwan friendship caucus as a platform for continuing friendship and support. ,1030,102,20
2023/2/17 5:22,I had a very productive and delightful discussion with Governor Youngkin to explore ways to deepen the partnership between Virginia and Taiwan.,659,54,8
2023/2/15 11:53,Taiwan is not a place for dieting.  I think I gained 5 pounds in a week.  The food is too good to resist.   🥘🍛🍱🧋,1822,71,63
2023/2/11 11:20,Kindness goes around.  Taiwan can help.,921,98,23
2023/2/10 7:48,Spoke with members of our first search &amp; rescue team in Türkiye who updated me on the situation on the ground. We are deeply grateful for their efforts &amp; will do our utmost to supply them with the resources they need. ,3283,316,184
2023/2/8 8:27,Taiwan is proud to join the global disaster response to the devastating earthquakes in Türkiye &amp; Syria. Our first search &amp; rescue team reached Türkiye today &amp; a second is on the way. We hope they will be able to offer vital assistance to those in need. ,6878,955,263
2023/2/8 8:27,Saddened by the tragic impact of the earthquake in 🇹🇷 Turkey.  Taiwanese people stand ready to help.,949,79,21
2023/2/7 18:11,"Glad to see Premier Chen, my solid working buddy @MOFA_Taiwan Minister Wu and other colleagues back in Taipei! ",2099,121,50
2023/2/6 22:48,"Our hearts go out to the people of Türkiye in the aftermath of the devastating earthquake. Taiwan has committed US$200,000 for disaster relief &amp; we are standing ready to give further assistance if requested. Our thoughts are with both victims &amp; survivors of this tragedy.",675,137,27
2023/2/3 8:36,My latest interview with Japanese media Jiji Press.,593,55,22
2023/2/1 19:39,"Proud to stand in solidarity with the parliament foreign relations committee Chairmen from 🇺🇦 🇱🇹 🇵🇱  for the cause of peace, democracy, and freedom.",747,64,17
2023/1/31 9:37,"With all the commercial and trade activity, visitors often don’t realize how naturally scenic Taiwan is until they venture out of the cities.",762,68,18
2023/1/29 7:18,Engaging discussions yesterday with students and faculty at Berkeley @GoldmanSchool and Stanford @HooverInst before celebrating the lunar new year with the TA community. Great to be in the sunny warm Bay Area again!,762,59,23
2023/1/26 6:53,Thanks @RepMcCaul Busy day on the Hill meeting with our friends in Congress and discussing the many areas of cooperation that are important for our partnership in the coming year.,1128,91,39
2023/1/25 7:16,"From Taiwan’s breathtaking landscape, thrilling hiking trails, bustling temples &amp; markets, sumptuous street food &amp; exquisite fine dining to its azure skies, stunning beaches &amp; bountiful flora &amp; fauna: it’s all here waiting for you! 

What’s stopping you? Come visit #Taiwan🇹🇼! ",902,224,65
2023/1/24 6:13,"The next five years are especially critical to deterring China from invading Taiwan.

Through deepening economic ties, enabling effective military training, and enhancing asymmetric capabilities, the U.S. must do all we can to support the Taiwanese people.
",270,63,56
2023/1/23 0:55,"This is horrifying.  Condolences to the families and communities of the victims, and praying that those injured recover safely.",368,27,15
2023/1/22 22:59,The paramount significance of striving for peace while protecting ourselves cannot be overstated.,457,46,6
2023/1/22 5:05,"This non-ambassador ambassador was surprised to find such an extensive profile, but thankful that there is much interest in the challenging work I do.",2453,283,85
2023/1/21 10:50,Maybe I should visit Vietnam this year.  🐈‍⬛,512,35,16
2023/1/20 5:19,"The online advance reservation for the performance of @twincussion  is open NOW! Grab your FREE tickets at the link below: 
",60,7,2
2023/1/20 4:18,Looking forward to a festive celebration of the lunar new year in DC!  ,403,23,19
