item_id,app_id,camp,genre,disagreement_type,gpt_l207,ds_l207,human_junyu,human_z,human_agree,human_and,human_or,human_sides_with,L1_junyu,L2_junyu,L1_z,L2_z
A034,9034,DPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A035,9035,KMT,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A036,9036,DPP,debate,both_false,False,False,False,False,True,False,False,split/NA,L1-01,,L1-01,
A037,9037,DPP,news,both_true,True,True,True,True,True,True,True,split/NA,L1-01,L2-07,L1-01,L2-07
A038,9038,DPP,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-07,L1-01,
A039,9039,KMT,news,both_false,False,False,False,False,True,False,False,split/NA,L1-01,,L1-01,
A040,9040,KMT,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,L2-08,L1-01,
A041,9041,KMT,news,both_true,True,True,True,True,True,True,True,split/NA,L1-01,L2-06|L2-07,L1-01,L2-07
A042,9042,TPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A043,9043,KMT,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-01|L2-02|L2-07,L1-01,
A044,9044,TPP,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,L2-01|L2-08,L1-01,
A045,9045,DPP,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-01|L2-02|L2-07,L1-01,
A046,9046,TPP,news,gpt_true_ds_false,True,False,True,False,False,False,True,split/NA,L1-01,L2-02|L2-07,L1-01,
A047,9047,DPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,L2-05,L1-01,
A048,9048,DPP,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-07|L2-08,L1-01,
A049,9049,DPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A050,9050,TPP,news,both_false,False,False,False,False,True,False,False,split/NA,L1-01,L2-01|L2-05,L1-01,
