id,doc_id,unit_id,cohort,consensus_labels,swing_labels,n_swing,jaccard_consensus_only
21825,_53279b49e3b7,_53279b49e3b7_u000,has_consensus,L2-05,L2-07,1,1.0
9224,_383585120389,_383585120389_u003,has_consensus,L2-01|L2-03|L2-08,,0,1.0
7819,_428202256e53,_428202256e53_u006,has_consensus,L2-02|L2-07,,0,1.0
16232,_3c21d62f32b7,_3c21d62f32b7_u000,has_consensus,L2-06,,0,1.0
20631,_bb4b6843536b,_bb4b6843536b_u003,has_consensus,L2-06|L2-07,,0,0.5
1955,_3a08a11aaf37,_3a08a11aaf37_u000,has_consensus,L2-01|L2-02|L2-03,,0,0.0
4047,_bb1c7b8b5aee,_bb1c7b8b5aee_u014,has_consensus,L2-01,,0,0.0
3232,_c4a137a9b22a,_c4a137a9b22a_u018,has_consensus,L2-02|L2-05|L2-06,,0,0.3333333333333333
2110,_a7d9c16b58dd,_a7d9c16b58dd_u026,has_consensus,L2-01|L2-06,L2-03|L2-07,2,0.5
16536,_bb43d61ff411,_bb43d61ff411_u004,has_consensus,L2-04|L2-05,L2-01,1,1.0
1171,_9c965591d395,_9c965591d395_u017,no_consensus,,L2-01|L2-05,2,
20551,_9ed5652096e1,_9ed5652096e1_u021,has_consensus,L2-01,,0,1.0
17761,_5acc8f59baa7,_5acc8f59baa7_u006,has_consensus,L2-06|L2-07,L2-01,1,1.0
9067,柯文哲专访_d6b3e3046424,柯文哲专访_d6b3e3046424_u025,has_consensus,L2-01|L2-05,L2-06,1,0.0
8992,_bf0245e5dccf,_bf0245e5dccf_u028,has_consensus,L2-01|L2-05,L2-02|L2-07,2,1.0
617,_cea778b68875,_cea778b68875_u075,has_consensus,L2-01|L2-06|L2-07,L2-03,1,1.0
14075,_59b43711b5b5,_59b43711b5b5_u000,has_consensus,L2-01,,0,1.0
15381,_08e54e529541,_08e54e529541_u000,has_consensus,L2-06|L2-07,,0,0.5
9847,_b7b885a72bb9,_b7b885a72bb9_u007,has_consensus,L2-07,,0,0.0
22517,_57934bacdae1,_57934bacdae1_u013,has_consensus,L2-01|L2-07|L2-08,L2-04,1,1.0
1477,_06ca350300f1,_06ca350300f1_u001,has_consensus,L2-02|L2-05|L2-08,,0,0.6666666666666666
3764,_581404d41375,_581404d41375_u023,has_consensus,L2-06,,0,1.0
16474,萧美琴专访_02a1f8e71ede,萧美琴专访_02a1f8e71ede_u041,has_consensus,L2-05,,0,1.0
2167,_15c486da051c,_15c486da051c_u002,has_consensus,L2-01,L2-03,1,1.0
8955,_2b723b9ceb30,_2b723b9ceb30_u001,has_consensus,L2-02|L2-05,L2-06,1,0.0
10192,_0d88639829a7,_0d88639829a7_u014,has_consensus,L2-01|L2-05|L2-08,,0,1.0
17218,_00b71ec07695,_00b71ec07695_u005,has_consensus,L2-01|L2-06|L2-07|L2-08,,0,0.75
9828,_1a86b91d70e8,_1a86b91d70e8_u011,has_consensus,L2-02|L2-03,L2-06|L2-08,2,0.0
10430,_22bae0f8a1ca,_22bae0f8a1ca_u008,has_consensus,L2-07,,0,1.0
8631,_d840cc9a8804,_d840cc9a8804_u002,has_consensus,L2-07|L2-08,L2-04,1,1.0
14107,_74226ec1f7ff,_74226ec1f7ff_u002,has_consensus,L2-04,L2-08,1,1.0
17984,_5ecc4b7066c2,_5ecc4b7066c2_u002,has_consensus,L2-08,L2-02|L2-06|L2-07,3,1.0
4682,_20afb2de1725,_20afb2de1725_u006,has_consensus,L2-04|L2-05|L2-07|L2-08,,0,1.0
3940,_ddd7b37896f1,_ddd7b37896f1_u003,has_consensus,L2-03|L2-07,L2-05,1,1.0
4585,_6dac1b78a4c3,_6dac1b78a4c3_u002,has_consensus,L2-01|L2-06,,0,1.0
14505,_1759222f8da1,_1759222f8da1_u015,has_consensus,L2-01|L2-02,L2-05,1,0.5
13303,_9d7866bc9a44,_9d7866bc9a44_u003,has_consensus,L2-03|L2-07,,0,1.0
5876,_12268567999c,_12268567999c_u003,has_consensus,L2-01,,0,1.0
3568,_0ecc516fd5f6,_0ecc516fd5f6_u015,has_consensus,L2-01|L2-05,L2-06,1,1.0
1799,_4d01e59bf451,_4d01e59bf451_u001,has_consensus,L2-04,L2-06,1,1.0
1062,_4f877a2b1cf9,_4f877a2b1cf9_u005,has_consensus,L2-01|L2-02|L2-03,,0,0.6666666666666666
9159,_fc4684456a7b,_fc4684456a7b_u014,no_consensus,,L2-02|L2-05,2,
9610,_420c9d37f1e6,_420c9d37f1e6_u005,has_consensus,L2-04|L2-05,L2-06,1,1.0
8728,meeting1_bbe03aa18cdb,meeting1_bbe03aa18cdb_u002,has_consensus,L2-06|L2-07,,0,0.5
3758,_7e9bff2de9f6,_7e9bff2de9f6_u007,has_consensus,L2-02|L2-05,L2-07,1,0.0
16982,_b7b885a72bb9,_b7b885a72bb9_u018,has_consensus,L2-04|L2-05,L2-01,1,1.0
3314,_cc6f2db928ca,_cc6f2db928ca_u002,has_consensus,L2-01|L2-02|L2-05,L2-03,1,1.0
11140,总统辩论_e76e2f37b3f6,总统辩论_e76e2f37b3f6_u771,has_consensus,L2-04,,0,0.0
4174,_fa36e18dc241,_fa36e18dc241_u009,has_consensus,L2-02,,0,1.0
7785,_e4a6abbcf570,_e4a6abbcf570_u006,has_consensus,L2-01|L2-05,,0,0.5
