pair,annotator,unit,estimand,threshold20,n_ab,value,p,dropped_by_threshold
04-05,ds,sentence,conditional_OR(L1_gpt),True,151,1.1708,0.2288,False
04-06,ds,sentence,conditional_OR(L1_gpt),True,187,2.3996,0.0,False
04-07,ds,sentence,conditional_OR(L1_gpt),True,267,0.9083,0.2901,False
04-08,ds,sentence,conditional_OR(L1_gpt),True,175,3.2485,0.0,False
05-06,ds,sentence,conditional_OR(L1_gpt),True,295,0.9733,0.7774,False
05-07,ds,sentence,conditional_OR(L1_gpt),True,814,1.2193,0.0014,False
05-08,ds,sentence,conditional_OR(L1_gpt),True,297,1.2571,0.0161,False
06-07,ds,sentence,conditional_OR(L1_gpt),True,837,1.1726,0.0093,False
06-08,ds,sentence,conditional_OR(L1_gpt),True,227,1.3744,0.0006,False
07-08,ds,sentence,conditional_OR(L1_gpt),True,776,3.3644,0.0,False
01-02,ds,sentence,conditional_OR(L1_ds),False,180,3.3986,0.0,False
01-03,ds,sentence,conditional_OR(L1_ds),False,57,2.7259,0.0,False
01-04,ds,sentence,conditional_OR(L1_ds),False,111,0.9393,0.6684,False
01-05,ds,sentence,conditional_OR(L1_ds),False,360,0.4935,0.0,False
01-06,ds,sentence,conditional_OR(L1_ds),False,460,2.502,0.0,False
01-07,ds,sentence,conditional_OR(L1_ds),False,647,1.0953,0.1782,False
01-08,ds,sentence,conditional_OR(L1_ds),False,298,1.5985,0.0,False
02-03,ds,sentence,conditional_OR(L1_ds),False,5,0.572,0.2282,False
02-04,ds,sentence,conditional_OR(L1_ds),False,54,1.9441,0.0008,False
02-05,ds,sentence,conditional_OR(L1_ds),False,137,1.0566,0.6988,False
02-06,ds,sentence,conditional_OR(L1_ds),False,59,0.7614,0.1156,False
02-07,ds,sentence,conditional_OR(L1_ds),False,145,0.7381,0.0166,False
02-08,ds,sentence,conditional_OR(L1_ds),False,144,3.6775,0.0,False
03-04,ds,sentence,conditional_OR(L1_ds),False,12,1.1925,0.6268,False
03-05,ds,sentence,conditional_OR(L1_ds),False,27,0.5857,0.0572,False
03-06,ds,sentence,conditional_OR(L1_ds),False,54,1.6342,0.0301,False
03-07,ds,sentence,conditional_OR(L1_ds),False,85,1.3864,0.0593,False
03-08,ds,sentence,conditional_OR(L1_ds),False,17,0.8722,0.692,False
04-05,ds,sentence,conditional_OR(L1_ds),False,151,1.0955,0.4992,False
04-06,ds,sentence,conditional_OR(L1_ds),False,187,2.3527,0.0,False
04-07,ds,sentence,conditional_OR(L1_ds),False,267,0.8563,0.0909,False
04-08,ds,sentence,conditional_OR(L1_ds),False,175,2.9013,0.0,False
05-06,ds,sentence,conditional_OR(L1_ds),False,295,0.9677,0.7318,False
05-07,ds,sentence,conditional_OR(L1_ds),False,814,0.969,0.6132,False
05-08,ds,sentence,conditional_OR(L1_ds),False,297,0.9669,0.7213,False
06-07,ds,sentence,conditional_OR(L1_ds),False,837,1.0982,0.1329,False
06-08,ds,sentence,conditional_OR(L1_ds),False,227,1.2802,0.0081,False
07-08,ds,sentence,conditional_OR(L1_ds),False,776,2.8062,0.0,False
01-02,ds,sentence,conditional_OR(L1_ds),True,180,3.3986,0.0,False
01-03,ds,sentence,conditional_OR(L1_ds),True,57,2.7259,0.0,False
01-04,ds,sentence,conditional_OR(L1_ds),True,111,0.9393,0.6684,False
01-05,ds,sentence,conditional_OR(L1_ds),True,360,0.4935,0.0,False
01-06,ds,sentence,conditional_OR(L1_ds),True,460,2.502,0.0,False
01-07,ds,sentence,conditional_OR(L1_ds),True,647,1.0953,0.1782,False
01-08,ds,sentence,conditional_OR(L1_ds),True,298,1.5985,0.0,False
02-03,ds,sentence,conditional_OR(L1_ds),True,5,,,True
02-04,ds,sentence,conditional_OR(L1_ds),True,54,1.9441,0.0008,False
02-05,ds,sentence,conditional_OR(L1_ds),True,137,1.0566,0.6988,False
02-06,ds,sentence,conditional_OR(L1_ds),True,59,0.7614,0.1156,False
02-07,ds,sentence,conditional_OR(L1_ds),True,145,0.7381,0.0166,False
02-08,ds,sentence,conditional_OR(L1_ds),True,144,3.6775,0.0,False
03-04,ds,sentence,conditional_OR(L1_ds),True,12,,,True
03-05,ds,sentence,conditional_OR(L1_ds),True,27,0.5857,0.0572,False
03-06,ds,sentence,conditional_OR(L1_ds),True,54,1.6342,0.0301,False
03-07,ds,sentence,conditional_OR(L1_ds),True,85,1.3864,0.0593,False
03-08,ds,sentence,conditional_OR(L1_ds),True,17,,,True
04-05,ds,sentence,conditional_OR(L1_ds),True,151,1.0955,0.4992,False
04-06,ds,sentence,conditional_OR(L1_ds),True,187,2.3527,0.0,False
04-07,ds,sentence,conditional_OR(L1_ds),True,267,0.8563,0.0909,False
04-08,ds,sentence,conditional_OR(L1_ds),True,175,2.9013,0.0,False
05-06,ds,sentence,conditional_OR(L1_ds),True,295,0.9677,0.7318,False
05-07,ds,sentence,conditional_OR(L1_ds),True,814,0.969,0.6132,False
05-08,ds,sentence,conditional_OR(L1_ds),True,297,0.9669,0.7213,False
06-07,ds,sentence,conditional_OR(L1_ds),True,837,1.0982,0.1329,False
06-08,ds,sentence,conditional_OR(L1_ds),True,227,1.2802,0.0081,False
07-08,ds,sentence,conditional_OR(L1_ds),True,776,2.8062,0.0,False
01-02,ds,document,raw_OR,False,178,10.0844,,False
01-03,ds,document,raw_OR,False,81,6.7778,,False
01-04,ds,document,raw_OR,False,225,3.7526,,False
01-05,ds,document,raw_OR,False,473,5.6754,,False
01-06,ds,document,raw_OR,False,474,4.9056,,False
01-07,ds,document,raw_OR,False,638,3.7769,,False
01-08,ds,document,raw_OR,False,383,5.3604,,False
02-03,ds,document,raw_OR,False,23,3.1296,,False
02-04,ds,document,raw_OR,False,97,4.7363,,False
02-05,ds,document,raw_OR,False,207,14.4373,,False
02-06,ds,document,raw_OR,False,139,3.0052,,False
02-07,ds,document,raw_OR,False,213,4.6463,,False
02-08,ds,document,raw_OR,False,163,8.0013,,False
03-04,ds,document,raw_OR,False,31,2.1896,,False
03-05,ds,document,raw_OR,False,71,3.422,,False
03-06,ds,document,raw_OR,False,79,4.1136,,False
03-07,ds,document,raw_OR,False,103,3.8162,,False
03-08,ds,document,raw_OR,False,53,2.7307,,False
04-05,ds,document,raw_OR,False,265,3.8559,,False
04-06,ds,document,raw_OR,False,270,3.6075,,False
04-07,ds,document,raw_OR,False,387,4.0065,,False
04-08,ds,document,raw_OR,False,246,5.1273,,False
05-06,ds,document,raw_OR,False,486,2.9543,,False
05-07,ds,document,raw_OR,False,787,3.8505,,False
05-08,ds,document,raw_OR,False,412,4.0922,,False
06-07,ds,document,raw_OR,False,853,4.398,,False
06-08,ds,document,raw_OR,False,422,3.8224,,False
07-08,ds,document,raw_OR,False,660,6.6227,,False
01-02,ds,document,raw_OR,True,178,10.0844,,False
01-03,ds,document,raw_OR,True,81,6.7778,,False
01-04,ds,document,raw_OR,True,225,3.7526,,False
01-05,ds,document,raw_OR,True,473,5.6754,,False
01-06,ds,document,raw_OR,True,474,4.9056,,False
01-07,ds,document,raw_OR,True,638,3.7769,,False
01-08,ds,document,raw_OR,True,383,5.3604,,False
02-03,ds,document,raw_OR,True,23,3.1296,,False
02-04,ds,document,raw_OR,True,97,4.7363,,False
02-05,ds,document,raw_OR,True,207,14.4373,,False
02-06,ds,document,raw_OR,True,139,3.0052,,False
02-07,ds,document,raw_OR,True,213,4.6463,,False
02-08,ds,document,raw_OR,True,163,8.0013,,False
03-04,ds,document,raw_OR,True,31,2.1896,,False
03-05,ds,document,raw_OR,True,71,3.422,,False
03-06,ds,document,raw_OR,True,79,4.1136,,False
03-07,ds,document,raw_OR,True,103,3.8162,,False
03-08,ds,document,raw_OR,True,53,2.7307,,False
04-05,ds,document,raw_OR,True,265,3.8559,,False
04-06,ds,document,raw_OR,True,270,3.6075,,False
04-07,ds,document,raw_OR,True,387,4.0065,,False
04-08,ds,document,raw_OR,True,246,5.1273,,False
05-06,ds,document,raw_OR,True,486,2.9543,,False
05-07,ds,document,raw_OR,True,787,3.8505,,False
05-08,ds,document,raw_OR,True,412,4.0922,,False
06-07,ds,document,raw_OR,True,853,4.398,,False
06-08,ds,document,raw_OR,True,422,3.8224,,False
07-08,ds,document,raw_OR,True,660,6.6227,,False
01-02,ds,document,lift,False,178,3.0241,,False
01-03,ds,document,lift,False,81,2.7858,,False
01-04,ds,document,lift,False,225,2.0295,,False
01-05,ds,document,lift,False,473,2.0049,,False
01-06,ds,document,lift,False,474,1.8828,,False
01-07,ds,document,lift,False,638,1.3784,,False
01-08,ds,document,lift,False,383,2.129,,False
02-03,ds,document,lift,False,23,2.5383,,False
02-04,ds,document,lift,False,97,2.8075,,False
02-05,ds,document,lift,False,207,2.8155,,False
02-06,ds,document,lift,False,139,1.7717,,False
02-07,ds,document,lift,False,213,1.4767,,False
02-08,ds,document,lift,False,163,2.9075,,False
03-04,ds,document,lift,False,31,1.8164,,False
03-05,ds,document,lift,False,71,1.955,,False
03-06,ds,document,lift,False,79,2.0384,,False
03-07,ds,document,lift,False,103,1.4456,,False
03-08,ds,document,lift,False,53,1.9138,,False
04-05,ds,document,lift,False,265,1.9136,,False
04-06,ds,document,lift,False,270,1.8271,,False
04-07,ds,document,lift,False,387,1.4244,,False
04-08,ds,document,lift,False,246,2.3297,,False
05-06,ds,document,lift,False,486,1.5455,,False
05-07,ds,document,lift,False,787,1.3613,,False
05-08,ds,document,lift,False,412,1.8336,,False
06-07,ds,document,lift,False,853,1.3826,,False
06-08,ds,document,lift,False,422,1.7599,,False
07-08,ds,document,lift,False,660,1.4971,,False
01-02,ds,document,lift,True,178,3.0241,,False
01-03,ds,document,lift,True,81,2.7858,,False
01-04,ds,document,lift,True,225,2.0295,,False
01-05,ds,document,lift,True,473,2.0049,,False
01-06,ds,document,lift,True,474,1.8828,,False
01-07,ds,document,lift,True,638,1.3784,,False
01-08,ds,document,lift,True,383,2.129,,False
02-03,ds,document,lift,True,23,2.5383,,False
02-04,ds,document,lift,True,97,2.8075,,False
02-05,ds,document,lift,True,207,2.8155,,False
02-06,ds,document,lift,True,139,1.7717,,False
02-07,ds,document,lift,True,213,1.4767,,False
02-08,ds,document,lift,True,163,2.9075,,False
03-04,ds,document,lift,True,31,1.8164,,False
03-05,ds,document,lift,True,71,1.955,,False
03-06,ds,document,lift,True,79,2.0384,,False
03-07,ds,document,lift,True,103,1.4456,,False
03-08,ds,document,lift,True,53,1.9138,,False
04-05,ds,document,lift,True,265,1.9136,,False
04-06,ds,document,lift,True,270,1.8271,,False
04-07,ds,document,lift,True,387,1.4244,,False
04-08,ds,document,lift,True,246,2.3297,,False
05-06,ds,document,lift,True,486,1.5455,,False
05-07,ds,document,lift,True,787,1.3613,,False
05-08,ds,document,lift,True,412,1.8336,,False
06-07,ds,document,lift,True,853,1.3826,,False
06-08,ds,document,lift,True,422,1.7599,,False
07-08,ds,document,lift,True,660,1.4971,,False
01-02,ds,document,null_model,False,178,1.2567,0.0066,False
01-03,ds,document,null_model,False,81,1.2101,0.0066,False
01-04,ds,document,null_model,False,225,0.951,0.1794,False
01-05,ds,document,null_model,False,473,1.0783,0.0133,False
01-06,ds,document,null_model,False,474,1.0383,0.1395,False
01-07,ds,document,null_model,False,638,0.9654,0.0266,False
01-08,ds,document,null_model,False,383,1.0701,0.0266,False
02-03,ds,document,null_model,False,23,0.8687,0.4518,False
02-04,ds,document,null_model,False,97,1.0296,0.6711,False
02-05,ds,document,null_model,False,207,1.2826,0.0066,False
02-06,ds,document,null_model,False,139,0.8479,0.0066,False
02-07,ds,document,null_model,False,213,0.9731,0.2458,False
02-08,ds,document,null_model,False,163,1.1869,0.0066,False
03-04,ds,document,null_model,False,31,0.7162,0.0266,False
03-05,ds,document,null_model,False,71,0.9308,0.3189,False
03-06,ds,document,null_model,False,79,0.9921,0.9967,False
03-07,ds,document,null_model,False,103,0.9581,0.2392,False
03-08,ds,document,null_model,False,53,0.8244,0.0399,False
04-05,ds,document,null_model,False,265,0.9631,0.3123,False
04-06,ds,document,null_model,False,270,0.9405,0.0664,False
04-07,ds,document,null_model,False,387,0.9699,0.113,False
04-08,ds,document,null_model,False,246,1.0681,0.0797,False
05-06,ds,document,null_model,False,486,0.898,0.0066,False
05-07,ds,document,null_model,False,787,0.9751,0.0199,False
05-08,ds,document,null_model,False,412,0.9798,0.4385,False
06-07,ds,document,null_model,False,853,0.9989,0.9502,False
06-08,ds,document,null_model,False,422,0.9609,0.0664,False
07-08,ds,document,null_model,False,660,1.0425,0.0066,False
01-02,ds,document,null_model,True,178,1.2567,0.0066,False
01-03,ds,document,null_model,True,81,1.2101,0.0066,False
01-04,ds,document,null_model,True,225,0.951,0.1794,False
01-05,ds,document,null_model,True,473,1.0783,0.0133,False
01-06,ds,document,null_model,True,474,1.0383,0.1395,False
01-07,ds,document,null_model,True,638,0.9654,0.0266,False
01-08,ds,document,null_model,True,383,1.0701,0.0266,False
02-03,ds,document,null_model,True,23,0.8687,0.4518,False
02-04,ds,document,null_model,True,97,1.0296,0.6711,False
02-05,ds,document,null_model,True,207,1.2826,0.0066,False
02-06,ds,document,null_model,True,139,0.8479,0.0066,False
02-07,ds,document,null_model,True,213,0.9731,0.2458,False
02-08,ds,document,null_model,True,163,1.1869,0.0066,False
03-04,ds,document,null_model,True,31,0.7162,0.0266,False
03-05,ds,document,null_model,True,71,0.9308,0.3189,False
03-06,ds,document,null_model,True,79,0.9921,0.9967,False
03-07,ds,document,null_model,True,103,0.9581,0.2392,False
03-08,ds,document,null_model,True,53,0.8244,0.0399,False
04-05,ds,document,null_model,True,265,0.9631,0.3123,False
04-06,ds,document,null_model,True,270,0.9405,0.0664,False
04-07,ds,document,null_model,True,387,0.9699,0.113,False
04-08,ds,document,null_model,True,246,1.0681,0.0797,False
05-06,ds,document,null_model,True,486,0.898,0.0066,False
05-07,ds,document,null_model,True,787,0.9751,0.0199,False
05-08,ds,document,null_model,True,412,0.9798,0.4385,False
06-07,ds,document,null_model,True,853,0.9989,0.9502,False
06-08,ds,document,null_model,True,422,0.9609,0.0664,False
07-08,ds,document,null_model,True,660,1.0425,0.0066,False
01-02,gpt,sentence,raw_OR,False,362,4.4427,,False
01-03,gpt,sentence,raw_OR,False,443,5.9341,,False
01-04,gpt,sentence,raw_OR,False,105,1.4971,,False
01-05,gpt,sentence,raw_OR,False,1098,2.5623,,False
01-06,gpt,sentence,raw_OR,False,618,0.8015,,False
01-07,gpt,sentence,raw_OR,False,1020,1.2212,,False
01-08,gpt,sentence,raw_OR,False,505,3.2715,,False
02-03,gpt,sentence,raw_OR,False,42,1.2939,,False
